joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
3.217,3.2167,0.027,0.027346,1.59957e-08,0,0,0,-3,3,-0,-0,-98.3127,-98.3127,0.004
3.217,3.2167,0.027,0.027346,6.39659e-08,0.000201536,0,0,-1,3,0.0141115,0.0141115,-98.3294,-98.3294,0.008
3.217,3.2167,0.027,0.027346,1.43885e-07,0.000134358,0,0,-2,3,0.0203101,0.0203101,-98.3462,-98.3462,0.012
3.217,3.2167,0.027,0.027346,2.55727e-07,8.95718e-05,0,0,-2,3,0.0293163,0.0293163,-98.363,-98.363,0.016
3.217,3.2167,0.027,0.027346,3.99467e-07,3.09236e-05,0,0,-3,3,0.0402848,0.0402848,-98.3798,-98.3798,0.02
3.217,3.2167,0.027,0.027346,5.75079e-07,4.94066e-05,0,0,-2,3,0.0535488,0.0535488,-98.3966,-98.3966,0.024
3.217,3.2167,0.027,0.027346,7.82537e-07,3.29378e-05,0,0,-3,3,0.06612,0.06612,-98.4134,-98.4134,0.028
3.217,3.2167,0.027,0.027346,1.02182e-06,2.19585e-05,0,0,-3,3,0.0793877,0.0793877,-98.4301,-98.4301,0.032
3.217,3.2167,0.027,0.027346,1.29289e-06,1.4639e-05,0,0,-3,3,0.0931242,0.0931242,-98.4469,-98.4469,0.036
3.217,3.2167,0.027,0.027346,1.59574e-06,9.75934e-06,0,0,-3,3,0.107178,0.107178,-98.4637,-98.4637,0.04
3.217,3.2167,0.027,0.027346,1.93033e-06,6.50623e-06,0,0,-3,3,0.121449,0.121449,-98.4805,-98.4805,0.044
3.217,3.2167,0.027,0.027346,2.29663e-06,4.33748e-06,0,0,-3,3,0.135871,0.135871,-98.4973,-98.4973,0.048
3.217,3.2167,0.027,0.027346,2.69463e-06,2.89166e-06,0,0,-3,3,0.150399,0.150399,-98.514,-98.514,0.052
3.217,3.2167,0.027,0.027346,3.1243e-06,1.92777e-06,0,0,-3,4,0.165005,0.165005,-98.5308,-98.5308,0.056
3.217,3.2167,0.027,0.027346,3.58561e-06,1.28518e-06,0,0,-3,4,0.179671,0.179671,-98.5476,-98.5476,0.06
3.217,3.2167,0.027,0.027346,4.07854e-06,8.56787e-07,0,0,-3,4,0.194383,0.194383,-98.5644,-98.5644,0.064
3.217,3.2167,0.027,0.0273456,4.60306e-06,5.71191e-07,0,-2.87909e-05,-3,3,0.209136,0.209136,-98.5811,-98.5811,0.068
3.217,3.2167,0.027,0.0273456,5.15915e-06,3.80794e-07,0,-1.91939e-05,-3,3,0.223924,0.223924,-98.5967,-98.5967,0.072
3.217,3.2167,0.027,0.0273456,5.74677e-06,2.53863e-07,0,-1.2796e-05,-3,3,0.238744,0.238744,-98.6126,-98.6126,0.076
3.217,3.2167,0.027,0.027346,6.36591e-06,1.69242e-07,0,2.02603e-05,-3,4,0.253597,0.253597,-98.6289,-98.6289,0.08
