joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, propo_term_torque_joint1, deriv_term_torque_joint1, propo_term_torque_joint2, deriv_term_torque_joint2, current_time
0,-0.000239425,0.39282,-0.000302996,0,0,0.08,0,0,0,-0,-0,-589.684,-40,0.004
0,-0.000239425,0.39314,-0.000302996,0,0,0.0799998,0,0,0,-0,-0,-590.164,-39.9999,0.008
0,-0.000239425,0.39346,-0.000302996,0,0,0.0799996,0,0,0,-0,-0,-590.644,-39.9998,0.012
0,-0.000239425,0.39378,-0.000302996,0,0,0.0799993,0,0,0,-0,-0,-591.124,-39.9997,0.016
0,-0.000239425,0.3941,-0.000302996,0,0,0.079999,0,0,0,-0,-0,-591.604,-39.9995,0.02
0,-0.000239425,0.39442,-0.000302996,0,0,0.0799985,0,0,0,-0,-0,-592.084,-39.9992,0.024
0,-0.000239425,0.39474,-0.000302996,0,0,0.079998,0,0,0,-0,-0,-592.564,-39.999,0.028
0,-0.000239425,0.39506,-0.000302996,0,0,0.0799973,0,0,0,-0,-0,-593.044,-39.9987,0.032
0,-0.00023908,0.39538,-0.000302996,0,2.87909e-05,0.0799966,0,0,0,-0,0,-593.524,-39.9983,0.036
0,-0.000239425,0.3957,-0.000302996,0,-9.59697e-06,0.0799958,0,0,0,-0,-0,-594.004,-39.9979,0.04
0,-0.00023908,0.39602,-0.000302996,0,2.23929e-05,0.0799949,0,0,0,-0,0,-594.484,-39.9975,0.044
0,-0.000239425,0.39634,-0.000302996,0,-1.38623e-05,0.079994,0,0,0,-0,-0,-594.964,-39.997,0.048
0,-0.000239425,0.39666,-0.000302996,0,-9.24153e-06,0.0799929,0,0,0,-0,-0,-595.444,-39.9965,0.052
0,-0.00023908,0.39698,-0.000303341,0,2.26299e-05,0.0799918,-2.87909e-05,0,0,-0,0,-595.925,-40.0103,0.056
0,-0.00023908,0.3973,-0.000302996,0,1.50866e-05,0.0799906,9.59697e-06,0,0,-0,0,-596.404,-39.9905,0.06
0,-0.00023908,0.39762,-0.000302996,0,1.00577e-05,0.0799893,6.39798e-06,0,0,-0,0,-596.884,-39.9915,0.064
0,-0.00023908,0.39794,-0.000302996,0,6.70516e-06,0.079988,4.26532e-06,0,0,-0,0,-597.364,-39.9918,0.068
0,-0.00023908,0.39826,-0.000302996,0,4.4701e-06,0.0799865,2.84355e-06,0,0,-0,0,-597.844,-39.9918,0.072
0,-0.00023908,0.39858,-0.000302996,0,2.98007e-06,0.079985,1.8957e-06,0,0,-0,0,-598.324,-39.9915,0.076
0,-0.00023908,0.3989,-0.000302996,0,1.98671e-06,0.0799833,1.2638e-06,0,0,-0,0,-598.804,-39.991,0.08
0,-0.00023908,0.399219,-0.000302996,0,1.32448e-06,0.0799816,8.42533e-07,0,0,-0,0,-599.284,-39.9904,0.084
0,-0.00023908,0.399539,-0.000302996,0,8.82984e-07,0.0799799,5.61689e-07,0,0,-0,0,-599.764,-39.9896,0.088
0,-0.00023908,0.399859,-0.000302996,0,5.88656e-07,0.079978,3.74459e-07,0,0,-0,0,-600.243,-39.9888,0.092
0,-0.00023908,0.400179,-0.000302996,0,3.92437e-07,0.079976,2.49639e-07,0,0,-0,0,-600.723,-39.9879,0.096
0,-0.00023908,0.400499,-0.000302996,0,2.61625e-07,0.079974,1.66426e-07,0,0,-0,0,-601.203,-39.9869,0.1
0,-0.00023908,0.400819,-0.000302996,0,1.74417e-07,0.0799719,1.10951e-07,0,0,-0,0,-601.683,-39.9859,0.104
0,-0.00023908,0.401139,-0.000302996,0,1.16278e-07,0.0799697,7.39672e-08,0,0,-0,0,-602.163,-39.9848,0.108
0,-0.00023908,0.401459,-0.000302996,0,7.75185e-08,0.0799674,4.93115e-08,0,0,-0,0,-602.643,-39.9837,0.112
0,-0.00023908,0.401779,-0.000302996,0,5.1679e-08,0.0799651,3.28743e-08,0,0,-0,0,-603.122,-39.9825,0.116
0,-0.00023908,0.402099,-0.000302996,0,3.44526e-08,0.0799626,2.19162e-08,0,0,-0,0,-603.602,-39.9813,0.12
0,-0.00023908,0.402418,-0.000302996,0,2.29684e-08,0.0799601,1.46108e-08,0,0,-0,0,-604.082,-39.9801,0.124
0,-0.00023908,0.402738,-0.000302996,0,1.53123e-08,0.0799575,9.74054e-09,0,0,-0,0,-604.562,-39.9788,0.128
0,-0.00023908,0.403058,-0.000302996,0,1.02082e-08,0.0799548,6.49369e-09,0,0,-0,0,-605.042,-39.9774,0.132
0,-0.00023908,0.403378,-0.000302996,0,6.80546e-09,0.0799521,4.32913e-09,0,0,-0,0,-605.521,-39.976,0.136
0,-0.00023908,0.403698,-0.000302996,0,4.53697e-09,0.0799492,2.88609e-09,0,0,-0,0,-606.001,-39.9746,0.14
0,-0.00023908,0.404017,-0.000302996,0,3.02465e-09,0.0799463,1.92406e-09,0,0,-0,0,-606.481,-39.9731,0.144
0,-0.00023908,0.404337,-0.000302996,0,2.01643e-09,0.0799433,1.2827e-09,0,0,-0,0,-606.96,-39.9716,0.148
0,-0.00023908,0.404657,-0.000302996,0,1.34429e-09,0.0799402,8.55136e-10,0,0,-0,0,-607.44,-39.9701,0.152
0,-0.00023908,0.404977,-0.000302996,0,8.96192e-10,0.079937,5.70091e-10,0,0,-0,0,-607.92,-39.9685,0.156
0,-0.00023908,0.405296,-0.000302996,0,5.97462e-10,0.0799338,3.80061e-10,0,0,-0,0,-608.399,-39.9669,0.16
0,-0.00023908,0.405616,-0.000302996,0,3.98308e-10,0.0799305,2.53374e-10,0,0,-0,0,-608.879,-39.9652,0.164
0,-0.00023908,0.405936,-0.000302996,0,2.65538e-10,0.079927,1.68916e-10,0,0,-0,0,-609.358,-39.9635,0.168
0,-0.00023908,0.406256,-0.000302996,0,1.77026e-10,0.0799236,1.12611e-10,0,0,-0,0,-609.838,-39.9618,0.172
0,-0.00023908,0.406575,-0.000302996,0,1.18017e-10,0.07992,7.50737e-11,0,0,-0,0,-610.317,-39.96,0.176
0,-0.00023908,0.406895,-0.000302996,0,7.86781e-11,0.0799163,5.00491e-11,0,0,-0,0,-610.797,-39.9582,0.18
0,-0.00023908,0.407215,-0.000302996,0,5.2452e-11,0.0799126,3.33661e-11,0,0,-0,0,-611.276,-39.9563,0.184
