joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, propo_term_torque_joint1, deriv_term_torque_joint1, propo_term_torque_joint2, deriv_term_torque_joint2, current_time
-1.18,-1.18187,0.394023,0.00141962,0,0,1.7696e-08,0,0,-1570,-0,-0,-1570.41,-2.6544e-05,0.004
-1.18,-1.18187,0.394023,0.00141962,0,0,7.07583e-08,0,0,-1570,-0,-0,-1570.41,-0.000106137,0.008
-1.18,-1.18187,0.394023,0.00142791,0,0,1.59148e-07,0.000690982,0,-1569,-0,-0,-1570.38,1.03623,0.012
-1.18,-1.18187,0.394023,0.00153571,0,0,2.82827e-07,0.00944342,0,-1555,-0,-0,-1569.95,14.1647,0.016
-1.18,-1.18187,0.394023,0.00176235,0,0,4.41757e-07,0.0251825,0,-1531,-0,-0,-1569.04,37.773,0.02
-1.18,-1.18187,0.394023,0.00208815,0,0,6.35898e-07,0.0439382,0,-1501,-0,-0,-1567.74,65.9063,0.024
-1.18,-1.18187,0.394023,0.0025017,0,0,8.65213e-07,0.0637548,0,-1470,-0,-0,-1566.09,95.631,0.028
-1.18,-1.18187,0.394023,0.00300992,0,0,1.12966e-06,0.0848547,0,-1436,-0,-0,-1564.05,127.28,0.032
-1.18,-1.18187,0.394023,0.00357825,0,0,1.42921e-06,0.103931,0,-1405,-0,-0,-1561.78,155.894,0.036
-1.18,-1.18187,0.394023,0.00420739,0,0,1.76381e-06,0.121716,0,-1376,-0,-0,-1559.26,182.571,0.04
-1.18,-1.18187,0.394023,0.00486797,0,0,2.13344e-06,0.136192,0,-1352,-0,-0,-1556.62,204.285,0.044
-1.18,-1.18187,0.394023,0.00558314,0,0,2.53804e-06,0.150392,0,-1328,-0,-0,-1553.76,225.584,0.048
-1.18,-1.18187,0.394023,0.00629968,0,0,2.97759e-06,0.159974,0,-1310,-0,-0,-1550.89,239.956,0.052
-1.18,-1.18187,0.394023,0.0070038,0,0,3.45204e-06,0.165325,0,-1300,-0,-0,-1548.08,247.982,0.056
-1.18,-1.18187,0.394023,0.00773209,0,0,3.96135e-06,0.170908,0,-1288,-0,-0,-1545.16,256.356,0.06
-1.18,-1.18187,0.394023,0.00841064,0,0,4.5055e-06,0.170484,0,-1286,-0,-0,-1542.45,255.719,0.064
-1.18,-1.18187,0.394023,0.00912062,0,0,5.08443e-06,0.172821,0,-1280,-0,-0,-1539.61,259.224,0.068
-1.18,-1.18187,0.394023,0.00980573,0,0,5.69811e-06,0.172307,0,-1278,-0,-0,-1536.87,258.451,0.072
-1.18,-1.18187,0.394023,0.0104746,0,0,6.3465e-06,0.17061,0,-1278,-0,-0,-1534.19,255.906,0.076
-1.18,-1.18187,0.394023,0.0111614,0,0,7.02957e-06,0.170977,0,-1274,-0,-0,-1531.45,256.454,0.08
-1.18,-1.18187,0.394023,0.0118486,0,0,7.74727e-06,0.17125,0,-1271,-0,-0,-1528.7,256.863,0.084
-1.18,-1.18187,0.394023,0.0125299,0,0,8.49957e-06,0.170942,0,-1269,-0,-0,-1525.97,256.4,0.088
-1.18,-1.18187,0.394023,0.0132061,0,0,9.28643e-06,0.170305,0,-1267,-0,-0,-1523.27,255.444,0.092
-1.18,-1.18187,0.394023,0.0138725,0,0,1.01078e-05,0.169075,0,-1267,-0,-0,-1520.6,253.597,0.096
-1.18,-1.18187,0.394023,0.0145296,0,0,1.09637e-05,0.167477,0,-1266,-0,-0,-1517.97,251.199,0.1
-1.18,-1.18187,0.394023,0.0151771,0,0,1.1854e-05,0.165605,0,-1266,-0,-0,-1515.39,248.39,0.104
-1.18,-1.18187,0.394023,0.0158176,0,0,1.27787e-05,0.163782,0,-1267,-0,-0,-1512.82,245.654,0.108
-1.18,-1.18187,0.394024,0.0164481,0,0,1.37378e-05,0.161731,0,-1267,-0,-0,-1510.3,242.576,0.112
-1.18,-1.18187,0.394024,0.0170697,0,0,1.47312e-05,0.159616,0,-1268,-0,-0,-1507.82,239.402,0.116
-1.18,-1.18187,0.394024,0.0176795,0,0,1.57589e-05,0.157227,0,-1269,-0,-0,-1505.38,235.816,0.12
-1.18,-1.18187,0.394024,0.0182879,0,0,1.68208e-05,0.155518,0,-1269,-0,-0,-1502.94,233.253,0.124
-1.18,-1.18187,0.394024,0.0188918,0,0,1.7917e-05,0.154006,0,-1269,-0,-0,-1500.53,230.981,0.128
-1.18,-1.18187,0.394024,0.0194892,0,0,1.90473e-05,0.15245,0,-1269,-0,-0,-1498.14,228.646,0.132
-1.18,-1.18187,0.394024,0.0200751,0,0,2.02118e-05,0.150463,0,-1270,-0,-0,-1495.8,225.664,0.136
-1.18,-1.18187,0.394024,0.0206569,0,0,2.14104e-05,0.148792,0,-1270,-0,-0,-1493.47,223.156,0.14
-1.18,-1.18187,0.394024,0.0212332,0,0,2.2643e-05,0.147218,0,-1270,-0,-0,-1491.16,220.793,0.144
-1.18,-1.18187,0.394024,0.0218019,0,0,2.39097e-05,0.145535,0,-1270,-0,-0,-1488.89,218.267,0.148
-1.18,-1.18187,0.394024,0.0223605,0,0,2.52103e-05,0.143578,0,-1271,-0,-0,-1486.66,215.33,0.152
-1.18,-1.18187,0.394024,0.0229116,0,0,2.65449e-05,0.14164,0,-1272,-0,-0,-1484.45,212.421,0.156
-1.18,-1.18187,0.394024,0.0234609,0,0,2.79134e-05,0.140205,0,-1271,-0,-0,-1482.25,210.265,0.16
-1.18,-1.18187,0.394025,0.0239933,0,0,2.93158e-05,0.137837,0,-1273,-0,-0,-1480.13,206.711,0.164
-1.18,-1.18187,0.394025,0.0245195,0,0,3.0752e-05,0.13574,0,-1274,-0,-0,-1478.02,203.563,0.168
-1.18,-1.18187,0.394025,0.0250298,0,0,3.2222e-05,0.133017,0,-1276,-0,-0,-1475.98,199.478,0.172
-1.18,-1.18187,0.394025,0.0255256,0,0,3.37258e-05,0.129993,0,-1279,-0,-0,-1474,194.939,0.176
-1.18,-1.18187,0.394025,0.026002,0,0,3.52632e-05,0.126365,0,-1282,-0,-0,-1472.09,189.494,0.18
-1.18,-1.18187,0.394025,0.0264622,0,0,3.68344e-05,0.122593,0,-1286,-0,-0,-1470.25,183.834,0.184
-1.18,-1.18187,0.394025,0.0269024,0,0,3.84392e-05,0.118408,0,-1290,-0,-0,-1468.49,177.555,0.188
-1.18,-1.18187,0.394026,0.0273287,0,0,4.00776e-05,0.114467,0,-1295,-0,-0,-1466.79,171.64,0.192
-1.18,-1.18187,0.394026,0.0277402,0,0,4.17496e-05,0.110601,0,-1299,-0,-0,-1465.14,165.839,0.196
-1.18,-1.18187,0.394026,0.0281399,0,0,4.34551e-05,0.107045,0,-1303,-0,-0,-1463.54,160.503,0.2
-1.18,-1.18187,0.394026,0.02853,0,0,4.51941e-05,0.103868,0,-1306,-0,-0,-1461.98,155.735,0.204
-1.18,-1.18187,0.394026,0.0289107,0,0,4.69665e-05,0.100973,0,-1309,-0,-0,-1460.46,151.389,0.208
-1.18,-1.18187,0.394026,0.0292811,0,0,4.87724e-05,0.0981793,0,-1311,-0,-0,-1458.98,147.196,0.212
-1.18,-1.18187,0.394027,0.0296386,0,0,5.06116e-05,0.0952515,0,-1314,-0,-0,-1457.55,142.801,0.216
-1.18,-1.18187,0.394027,0.0299855,0,0,5.24842e-05,0.0924071,0,-1317,-0,-0,-1456.17,138.532,0.22
-1.18,-1.18187,0.394027,0.030321,0,0,5.43901e-05,0.0895607,0,-1320,-0,-0,-1454.82,134.259,0.224
-1.18,-1.18187,0.394027,0.0306406,0,0,5.63293e-05,0.0863387,0,-1324,-0,-0,-1453.55,129.424,0.228
-1.18,-1.18187,0.394028,0.0309477,0,0,5.83016e-05,0.0831543,0,-1327,-0,-0,-1452.32,124.644,0.232
-1.18,-1.18187,0.394028,0.0312365,0,0,6.03072e-05,0.0795054,0,-1331,-0,-0,-1451.16,119.168,0.236
-1.18,-1.18187,0.394028,0.0315112,0,0,6.23459e-05,0.0758924,0,-1336,-0,-0,-1450.07,113.745,0.24
-1.18,-1.18187,0.394028,0.0317724,0,0,6.44177e-05,0.0723609,0,-1340,-0,-0,-1449.02,108.445,0.244
-1.18,-1.18187,0.394029,0.0320232,0,0,6.65226e-05,0.0691428,0,-1344,-0,-0,-1448.02,103.614,0.248
-1.18,-1.18187,0.394029,0.0322592,0,0,6.86606e-05,0.0657594,0,-1348,-0,-0,-1447.08,98.5361,0.252
-1.18,-1.18187,0.394029,0.0324834,0,0,7.08315e-05,0.0625249,0,-1352,-0,-0,-1446.18,93.6811,0.256
-1.18,-1.18187,0.394029,0.0327007,0,0,7.30354e-05,0.0597928,0,-1355,-0,-0,-1445.31,89.5796,0.26
-1.18,-1.18187,0.39403,0.0329022,0,0,7.52722e-05,0.056647,0,-1359,-0,-0,-1444.51,84.8575,0.264
-1.18,-1.18187,0.39403,0.0330929,0,0,7.75419e-05,0.0536572,0,-1363,-0,-0,-1443.75,80.3695,0.268
-1.18,-1.18187,0.39403,0.0332673,0,0,7.98445e-05,0.0503109,0,-1367,-0,-0,-1443.05,75.3466,0.272
-1.18,-1.18187,0.394031,0.0334321,0,0,8.21799e-05,0.0472739,0,-1371,-0,-0,-1442.39,70.7875,0.276
-1.18,-1.18187,0.394031,0.0335845,0,0,8.4548e-05,0.0442127,0,-1375,-0,-0,-1441.79,66.1922,0.28
-1.18,-1.18187,0.394031,0.0337282,0,0,8.69489e-05,0.0414522,0,-1379,-0,-0,-1441.21,62.0478,0.284
-1.18,-1.18187,0.394032,0.0338602,0,0,8.93825e-05,0.0386329,0,-1382,-0,-0,-1440.69,57.8153,0.288
-1.18,-1.18187,0.394032,0.0339825,0,0,9.18487e-05,0.0359473,0,-1386,-0,-0,-1440.2,53.7831,0.292
-1.18,-1.18187,0.394032,0.0340965,0,0,9.43476e-05,0.0334658,0,-1389,-0,-0,-1439.74,50.0572,0.296
-1.18,-1.18187,0.394033,0.0341998,0,0,9.6879e-05,0.0309191,0,-1393,-0,-0,-1439.33,46.2333,0.3
-1.18,-1.18187,0.394033,0.0342955,0,0,9.9443e-05,0.0285878,0,-1396,-0,-0,-1438.95,42.7325,0.304
-1.18,-1.18187,0.394034,0.0343843,0,0,0.00010204,0.0264578,0,-1399,-0,-0,-1438.6,39.5336,0.308
-1.18,-1.18187,0.394034,0.0344662,0,0,0.000104668,0.024462,0,-1401,-0,-0,-1438.27,36.536,0.312
-1.18,-1.18187,0.394034,0.0345419,0,0,0.00010733,0.0226132,0,-1404,-0,-0,-1437.97,33.7588,0.316
-1.18,-1.18187,0.394035,0.0346103,0,0,0.000110024,0.0207761,0,-1406,-0,-0,-1437.7,30.9991,0.32
-1.18,-1.18187,0.394035,0.0346745,0,0,0.00011275,0.0192058,0,-1408,-0,-0,-1437.44,28.6396,0.324
-1.18,-1.18187,0.394036,0.034735,0,0,0.000115508,0.0178423,0,-1410,-0,-0,-1437.2,26.5902,0.328
-1.18,-1.18187,0.394036,0.034792,0,0,0.000118299,0.0166454,0,-1412,-0,-0,-1436.98,24.7906,0.332
-1.18,-1.18187,0.394037,0.03484,0,0,0.000121122,0.0150988,0,-1414,-0,-0,-1436.79,22.4666,0.336
-1.18,-1.18187,0.394037,0.0348808,0,0,0.000123977,0.0134632,0,-1416,-0,-0,-1436.63,20.0089,0.34
-1.18,-1.18187,0.394038,0.0349136,0,0,0.000126865,0.0117106,0,-1419,-0,-0,-1436.5,17.3756,0.344
