joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
0.036394,0.0372899,0.218861,0.0187001,3.76499e-07,0,0.0500001,0,0,0,0,0,23.0522,1,0.004
0.036394,0.0372899,0.219061,0.0187001,1.50479e-06,0,0.0500006,0,0,0,0.0102628,0.0102628,20.1099,1,0.008
0.036394,0.0372902,0.219261,0.0187001,3.38307e-06,2.87909e-05,0.0500013,0,0,0,0.0205328,0.0205328,17.1783,1,0.012
0.036394,0.0372902,0.219461,0.0187001,6.00952e-06,1.91939e-05,0.0500023,0,0,0,0.031087,0.031087,14.2575,1,0.016
0.0363941,0.0372902,0.219661,0.0187001,9.38236e-06,1.2796e-05,0.0500036,0,0,0,0.0415026,0.0415026,11.3472,1,0.02
0.0363941,0.0372899,0.219861,0.0187001,1.34998e-05,-2.02603e-05,0.0500052,0,0,0,0.0517863,0.0517863,8.44757,1,0.024
0.0363942,0.0372899,0.220061,0.0187001,1.836e-05,-1.35069e-05,0.050007,0,0,0,0.0616675,0.0616675,5.55845,1,0.028
0.0363943,0.0372899,0.220261,0.0187001,2.39611e-05,-9.00457e-06,0.0500092,0,0,0,0.0715675,0.0715675,2.67982,1,0.032
0.0363944,0.0372899,0.220461,0.0187001,3.03014e-05,-6.00305e-06,0.0500116,0,0,0,0.0814523,0.0814523,-0.188366,-0.188366,0.036
0.0363945,0.0372899,0.220661,0.0187001,3.73792e-05,-4.00203e-06,0.0500143,0,0,0,0.0912963,0.0912963,-3.05143,-1,0.04
0.0363947,0.0372899,0.220861,0.0187001,4.51925e-05,-2.66802e-06,0.0500173,0,0,0,0.10108,0.10108,-5.90771,-1,0.044
0.0363949,0.0372899,0.221061,0.0186994,5.37396e-05,-1.77868e-06,0.0500205,-5.75818e-05,0,0,0.110786,0.110786,-8.75371,-1,0.048
0.0363951,0.0372895,0.221261,0.0187001,6.30187e-05,-2.99767e-05,0.0500241,1.91939e-05,0,0,0.120381,0.120381,-11.59,-1,0.052
0.0363954,0.0372895,0.221462,0.0187001,7.3028e-05,-1.99845e-05,0.0500279,1.2796e-05,0,0,0.129567,0.129567,-14.4152,-1,0.056
0.0363957,0.0372895,0.221662,0.0187001,8.37657e-05,-1.3323e-05,0.050032,8.53064e-06,0,0,0.138746,0.138746,-17.2304,-1,0.06
0.036396,0.0372895,0.221862,0.0187001,9.52301e-05,-8.88199e-06,0.0500363,5.6871e-06,0,0,0.147873,0.147873,-20.0354,-1,0.064
0.0363964,0.0372899,0.222062,0.0187001,0.000107419,2.28696e-05,0.050041,3.7914e-06,0,0,0.156934,0.156934,-22.8304,-1,0.068
0.0363969,0.0372895,0.222262,0.0187001,0.000120332,-1.35445e-05,0.0500459,2.5276e-06,0,0,0.16617,0.16617,-25.6153,-1,0.072
