joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
1.20204e-10,0.000516164,8.3175e-11,-0.000276393,9.01439e-08,0,6.2375e-08,0,5,-3,-0,-0,-98.3494,-98.3494,0.004
9.61343e-10,0.000516164,6.65201e-10,-0.000276393,3.60431e-07,0,2.494e-07,0,5,-3,-0.0252385,-0.0252385,-98.336,-98.336,0.008
3.24356e-09,0.000516164,2.24438e-09,-0.000276393,8.10646e-07,0,5.60926e-07,0,5,-3,-0.0504648,-0.0504648,-98.3226,-98.3226,0.012
7.68613e-09,0.000516164,5.31841e-09,-0.000276393,1.44057e-06,0,9.96803e-07,0,5,-3,-0.0756712,-0.0756712,-98.3092,-98.3092,0.016
1.50075e-08,0.000516164,1.03844e-08,-0.000276393,2.24999e-06,0,1.55688e-06,0,5,-3,-0.10085,-0.10085,-98.2957,-98.2957,0.02
2.59251e-08,0.000516164,1.79389e-08,-0.000276393,3.23869e-06,0,2.24101e-06,0,5,-3,-0.125993,-0.125993,-98.2822,-98.2822,0.024
4.11558e-08,0.000516164,2.84777e-08,-0.000276393,4.40646e-06,0,3.04904e-06,0,5,-3,-0.151093,-0.151093,-98.2687,-98.2687,0.028
6.14152e-08,0.000515818,4.24962e-08,-0.000276393,5.75307e-06,-2.87909e-05,3.98083e-06,0,5,-3,-0.176053,-0.176053,-98.2552,-98.2552,0.032
8.74185e-08,0.000515818,6.04892e-08,-0.000276393,7.27831e-06,-1.91939e-05,5.03622e-06,0,5,-3,-0.199823,-0.199823,-98.2416,-98.2416,0.036
1.1988e-07,0.000515818,8.29506e-08,-0.000276393,8.98196e-06,-1.2796e-05,6.21506e-06,0,5,-3,-0.223926,-0.223926,-98.228,-98.228,0.04
1.59512e-07,0.000515818,1.10374e-07,-0.000276393,1.08638e-05,-8.53064e-06,7.51721e-06,0,5,-3,-0.248222,-0.248222,-98.2143,-98.2143,0.044
2.07027e-07,0.000515818,1.43253e-07,-0.000276393,1.29237e-05,-5.6871e-06,8.94252e-06,0,5,-3,-0.272613,-0.272613,-98.2006,-98.2006,0.048
2.63138e-07,0.000515818,1.82078e-07,-0.000276393,1.51613e-05,-3.7914e-06,1.04908e-05,0,5,-3,-0.297032,-0.297032,-98.1868,-98.1868,0.052
3.28554e-07,0.000515818,2.27343e-07,-0.000276393,1.75764e-05,-2.5276e-06,1.2162e-05,0,5,-3,-0.321431,-0.321431,-98.1729,-98.1729,0.056
4.03986e-07,0.000515818,2.79538e-07,-0.000276393,2.01689e-05,-1.68507e-06,1.39559e-05,0,5,-3,-0.345775,-0.345775,-98.159,-98.159,0.06
4.90142e-07,0.000515818,3.39154e-07,-0.000276393,2.29386e-05,-1.12338e-06,1.58723e-05,0,5,-3,-0.37004,-0.37004,-98.145,-98.145,0.064
5.8773e-07,0.000515818,4.0668e-07,-0.000276393,2.58851e-05,-7.48918e-07,1.79112e-05,0,5,-3,-0.394205,-0.394205,-98.1308,-98.1308,0.068
6.97458e-07,0.000515818,4.82606e-07,-0.000276393,2.90083e-05,-4.99279e-07,2.00723e-05,0,5,-3,-0.418254,-0.418254,-98.1167,-98.1167,0.072
8.20032e-07,0.000515818,5.67421e-07,-0.000276393,3.2308e-05,-3.32852e-07,2.23555e-05,0,5,-3,-0.442174,-0.442174,-98.1024,-98.1024,0.076
9.56158e-07,0.000515818,6.61613e-07,-0.000276393,3.5784e-05,-2.21902e-07,2.47607e-05,0,5,-3,-0.465953,-0.465953,-98.088,-98.088,0.08
1.10654e-06,0.000515818,7.65669e-07,-0.000276393,3.9436e-05,-1.47934e-07,2.72877e-05,0,5,-3,-0.48958,-0.48958,-98.0735,-98.0735,0.084
1.27188e-06,0.000515818,8.80077e-07,-0.000276393,4.32639e-05,-9.86229e-08,2.99364e-05,0,5,-3,-0.513047,-0.513047,-98.0589,-98.0589,0.088
1.45288e-06,0.000515818,1.00532e-06,-0.000276393,4.72673e-05,-6.57486e-08,3.27066e-05,0,5,-3,-0.536344,-0.536344,-98.0441,-98.0441,0.092
1.65025e-06,0.000515818,1.14189e-06,-0.000276393,5.14462e-05,-4.38324e-08,3.55982e-05,0,5,-3,-0.559461,-0.559461,-98.0293,-98.0293,0.096
1.86469e-06,0.000515818,1.29027e-06,-0.000276393,5.58003e-05,-2.92216e-08,3.8611e-05,0,5,-3,-0.58239,-0.58239,-98.0143,-98.0143,0.1
2.09689e-06,0.000515818,1.45094e-06,-0.000276393,6.03293e-05,-1.94811e-08,4.17448e-05,0,5,-3,-0.605122,-0.605122,-97.9992,-97.9992,0.104
2.34756e-06,0.000515818,1.62439e-06,-0.000276393,6.50331e-05,-1.29874e-08,4.49996e-05,0,5,-3,-0.627649,-0.627649,-97.9839,-97.9839,0.108
2.61739e-06,0.000515818,1.8111e-06,-0.000276393,6.99115e-05,-8.65826e-09,4.83752e-05,0,5,-3,-0.649962,-0.649962,-97.9685,-97.9685,0.112
2.90708e-06,0.000515818,2.01155e-06,-0.000276393,7.49642e-05,-5.77217e-09,5.18714e-05,0,5,-3,-0.672053,-0.672053,-97.953,-97.953,0.116
3.21733e-06,0.000515818,2.22623e-06,-0.000276393,8.0191e-05,-3.84811e-09,5.54881e-05,0,5,-4,-0.693913,-0.693913,-97.9372,-97.9372,0.12
3.54884e-06,0.000515818,2.45562e-06,-0.000276393,8.55917e-05,-2.56541e-09,5.92251e-05,0,5,-4,-0.715533,-0.715533,-97.9214,-97.9214,0.124
3.9023e-06,0.000515818,2.70019e-06,-0.000276393,9.11661e-05,-1.71027e-09,6.30823e-05,0,5,-4,-0.736906,-0.736906,-97.9053,-97.9053,0.128
4.2784e-06,0.000515818,2.96044e-06,-0.000276393,9.6914e-05,-1.14018e-09,6.70596e-05,0,5,-4,-0.758023,-0.758023,-97.8891,-97.8891,0.132
4.67784e-06,0.000515818,3.23683e-06,-0.000276393,0.000102835,-7.60121e-10,7.11567e-05,0,5,-4,-0.778875,-0.778875,-97.8727,-97.8727,0.136
5.10131e-06,0.000515818,3.52985e-06,-0.000276393,0.000108929,-5.06748e-10,7.53736e-05,0,5,-4,-0.799453,-0.799453,-97.8561,-97.8561,0.14
5.5495e-06,0.000515818,3.83998e-06,-0.000276393,0.000115196,-3.37832e-10,7.97101e-05,0,5,-4,-0.819749,-0.819749,-97.8393,-97.8393,0.144
6.02311e-06,0.000515818,4.16769e-06,-0.000276393,0.000121636,-2.25221e-10,8.4166e-05,0,5,-4,-0.839755,-0.839755,-97.8223,-97.8223,0.148
6.52282e-06,0.000515818,4.51346e-06,-0.000276393,0.000128248,-1.50147e-10,8.87412e-05,0,5,-4,-0.859462,-0.859462,-97.8051,-97.8051,0.152
