joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
0.750624,0.749788,0.74122,0.739515,-3.60011e-07,0,-3.55501e-07,0,-5,-48,0,0,17.0339,10,0.004
0.750624,0.749788,0.74122,0.739431,-1.43889e-06,0,-1.42087e-06,-0.00699619,-5,-116,-0.00526314,-0.00526314,16.9797,10,0.008
0.750624,0.749788,0.74122,0.739369,-3.23492e-06,0,-3.19439e-06,-0.0098465,-5,-144,-0.0105208,-0.0105208,16.8578,10,0.012
0.750624,0.749788,0.74122,0.73932,-5.74636e-06,0,-5.67437e-06,-0.0106526,-5,-152,-0.0157688,-0.0157688,16.7086,10,0.016
0.750624,0.749789,0.74122,0.739286,-8.97149e-06,2.87909e-05,-8.8591e-06,-0.00986569,-4,-145,-0.0209916,-0.0209916,16.5525,10,0.02
0.750624,0.749789,0.74122,0.739273,-1.29086e-05,7.67758e-05,-1.27469e-05,-0.00769997,-4,-125,-0.0260278,-0.0260278,16.4052,10,0.024
0.750624,0.74979,0.74122,0.739274,-1.75559e-05,0.000137557,-1.7336e-05,-0.00501815,-4,-99,-0.030768,-0.030768,16.2801,10,0.028
0.750624,0.749792,0.74122,0.739287,-2.29118e-05,0.000206868,-2.26248e-05,-0.00228017,-3,-72,-0.035137,-0.035137,16.1822,10,0.032
0.750624,0.749793,0.74122,0.739308,-2.89745e-05,0.000224285,-2.86115e-05,0.000264924,-3,-48,-0.0391053,-0.0391053,16.1119,10,0.036
0.750624,0.749794,0.74122,0.739335,-3.57423e-05,0.000235896,-3.52945e-05,0.00239352,-3,-27,-0.0429388,-0.0429388,16.0671,10,0.04
0.750623,0.749794,0.741219,0.739364,-4.32134e-05,0.000186055,-4.26721e-05,0.00404291,-4,-11,-0.0466871,-0.0466871,16.0437,10,0.044
0.750623,0.749794,0.741219,0.739395,-5.13862e-05,0.000124037,-5.07425e-05,0.00525766,-4,0,-0.05067,-0.05067,16.0369,10,0.048
0.750623,0.749794,0.741219,0.739424,-6.0259e-05,8.26911e-05,-5.95041e-05,0.00592355,-4,7,-0.0549399,-0.0549399,16.0423,10,0.052
0.750623,0.749794,0.741219,0.739451,-6.983e-05,5.51274e-05,-6.89551e-05,0.00619472,-4,10,-0.0593815,-0.0593815,16.0545,10,0.056
0.750622,0.749794,0.741218,0.739475,-8.00975e-05,3.67516e-05,-7.9094e-05,0.00611639,-4,10,-0.0639166,-0.0639166,16.0695,10,0.06
0.750622,0.749794,0.741218,0.739495,-9.10598e-05,2.45011e-05,-8.9919e-05,0.00574747,-4,7,-0.0684917,-0.0684917,16.0839,10,0.064
0.750622,0.749794,0.741218,0.739511,-0.000102715,1.6334e-05,-0.000101428,0.00518482,-4,2,-0.0730697,-0.0730697,16.0948,10,0.068
0.750621,0.749794,0.741217,0.739524,-0.000115062,1.08894e-05,-0.000113621,0.00452181,-4,-4,-0.0776245,-0.0776245,16.1004,10,0.072
0.750621,0.749794,0.741217,0.739534,-0.000128099,7.25957e-06,-0.000126494,0.00384948,-4,-10,-0.0821375,-0.0821375,16.0996,10,0.076
0.75062,0.749794,0.741216,0.739543,-0.000141823,4.83972e-06,-0.000140046,0.00328609,-4,-15,-0.0865947,-0.0865947,16.0926,10,0.08
0.75062,0.749794,0.741216,0.73955,-0.000156234,3.22648e-06,-0.000154277,0.00279534,-4,-19,-0.0909856,-0.0909856,16.0802,10,0.084
0.750619,0.749794,0.741215,0.739554,-0.000171329,2.15098e-06,-0.000169183,0.00223784,-4,-25,-0.0953016,-0.0953016,16.0633,10,0.088
0.750618,0.749794,0.741214,0.739559,-0.000187108,1.43399e-06,-0.000184763,0.00186618,-4,-28,-0.0995358,-0.0995358,16.0412,10,0.092
0.750617,0.749794,0.741214,0.739563,-0.000203567,2.97469e-05,-0.000201017,0.00156082,-4,-31,-0.103671,-0.103671,16.0158,10,0.096
0.750617,0.749794,0.741213,0.739568,-0.000220706,1.98313e-05,-0.000217941,0.00144362,-4,-32,-0.107567,-0.107567,15.9877,10,0.1
0.750616,0.749794,0.741212,0.739573,-0.000238523,1.32209e-05,-0.000235534,0.00139428,-4,-32,-0.111416,-0.111416,15.959,10,0.104
0.750615,0.749795,0.741211,0.739579,-0.000257016,3.76048e-05,-0.000253796,0.00144775,-3,-31,-0.115185,-0.115185,15.9301,10,0.108
0.750614,0.749794,0.74121,0.739587,-0.000276183,-3.72104e-06,-0.000272723,0.00159857,-4,-29,-0.118734,-0.118734,15.9023,10,0.112
0.750612,0.749794,0.741209,0.739596,-0.000296023,-2.48069e-06,-0.000292314,0.00184307,-3,-27,-0.122385,-0.122385,15.8764,10,0.116
0.750611,0.749794,0.741207,0.739606,-0.000316534,-1.6538e-06,-0.000312568,0.00209244,-3,-24,-0.125911,-0.125911,15.8533,10,0.12
0.75061,0.749794,0.741206,0.739618,-0.000337714,-1.10253e-06,-0.000333483,0.00234506,-3,-21,-0.129312,-0.129312,15.8331,10,0.124
0.750609,0.749794,0.741205,0.739628,-0.000359562,-7.3502e-07,-0.000355057,0.00245589,-3,-20,-0.132585,-0.132585,15.8158,10,0.128
0.750607,0.749794,0.741203,0.739638,-0.000382076,-4.90014e-07,-0.000377289,0.00244341,-3,-20,-0.135727,-0.135727,15.8,10,0.132
0.750606,0.749794,0.741202,0.739646,-0.000405254,-3.26676e-07,-0.000400177,0.00229113,-3,-21,-0.138733,-0.138733,15.7844,10,0.136
0.750604,0.749794,0.7412,0.739653,-0.000429095,-2.17784e-07,-0.000423719,0.00210324,-3,-22,-0.141601,-0.141601,15.7677,10,0.14
0.750602,0.749794,0.741198,0.739658,-0.000453597,-1.45189e-07,-0.000447914,0.00183402,-3,-24,-0.144325,-0.144325,15.7494,10,0.144
0.7506,0.749794,0.741197,0.739662,-0.000478758,-9.67928e-08,-0.00047276,0.00153938,-2,-27,-0.146903,-0.146903,15.7289,10,0.148
