joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
5.02099e-10,0.00102024,0.05012,-0.000239771,3.76499e-07,0,0.0300002,0,11,-839,-0,-0,-98.3494,-98.3494,0.004
4.01438e-09,0.00101885,0.05024,-0.000239771,1.50479e-06,-0.000115164,0.0300008,0,10,-844,-0.049524,-0.049524,-94.6333,-94.6333,0.008
1.35404e-08,0.00101885,0.05036,-0.00023597,3.38307e-06,-7.67758e-05,0.0300018,0.0003167,10,-846,-0.0944709,-0.0944709,-90.9123,-90.9123,0.012
3.20765e-08,0.0010192,0.05048,-0.000180346,6.00952e-06,-2.23929e-05,0.0300032,0.00484647,11,-807,-0.141026,-0.141026,-87.2118,-87.2118,0.016
6.26118e-08,0.0010192,0.0506,-5.32056e-05,9.38236e-06,-1.49286e-05,0.030005,0.013826,11,-725,-0.189667,-0.189667,-83.7139,-83.7139,0.02
1.08128e-07,0.00101885,0.0507201,0.000143724,1.34998e-05,-3.87433e-05,0.0300072,0.0256282,10,-614,-0.238383,-0.238383,-80.606,-80.606,0.024
1.716e-07,0.00101782,0.0508401,0.000396624,1.836e-05,-0.000112202,0.0300098,0.0381604,10,-495,-0.285731,-0.285731,-78.0048,-78.0048,0.028
2.55996e-07,0.00101678,0.0509601,0.000699619,2.39611e-05,-0.000161174,0.0300128,0.0506899,9,-375,-0.329746,-0.329746,-75.9418,-75.9418,0.032
3.64275e-07,0.00101574,0.0510802,0.00104407,3.03014e-05,-0.000193822,0.0300162,0.0624978,9,-260,-0.371418,-0.371418,-74.4172,-74.4172,0.036
4.9939e-07,0.00101505,0.0512003,0.00140649,3.73792e-05,-0.000186797,0.03002,0.0718669,9,-169,-0.411486,-0.411486,-73.3971,-73.3971,0.04
6.64289e-07,0.00101471,0.0513204,0.00176961,4.51925e-05,-0.000153322,0.0300242,0.0781705,9,-106,-0.451589,-0.451589,-72.7769,-72.7769,0.044
8.61909e-07,0.00101505,0.0514405,0.00211821,5.37396e-05,-7.34237e-05,0.0300287,0.0811637,10,-76,-0.492905,-0.492905,-72.4258,-72.4258,0.048
1.09518e-06,0.00101505,0.0515606,0.00244228,6.30187e-05,-4.89491e-05,0.0300337,0.081115,10,-74,-0.537109,-0.537109,-72.2035,-72.2035,0.052
1.36703e-06,0.00101436,0.0516807,0.00272627,7.3028e-05,-9.02146e-05,0.0300391,0.0777428,10,-105,-0.58175,-0.58175,-71.9787,-71.9787,0.056
1.68038e-06,0.00101471,0.0518009,0.00297088,8.37657e-05,-3.13521e-05,0.0300448,0.0722125,10,-157,-0.624452,-0.624452,-71.6119,-71.6119,0.06
2.03813e-06,0.00101505,0.0519211,0.00315883,9.52301e-05,7.88949e-06,0.0300509,0.0638039,11,-238,-0.669154,-0.669154,-71.0075,-71.0075,0.064
2.44318e-06,0.00101505,0.0520413,0.00330393,0.000107419,5.25966e-06,0.0300574,0.0546282,10,-326,-0.714913,-0.714913,-70.0469,-70.0469,0.068
2.89844e-06,0.00101505,0.0521615,0.00341069,0.000120332,3.50644e-06,0.0300643,0.0453152,10,-417,-0.760019,-0.760019,-68.6974,-68.6974,0.072
3.4068e-06,0.00101471,0.0522818,0.00348704,0.000133965,-2.64533e-05,0.0300716,0.0365729,10,-503,-0.804386,-0.804386,-66.9534,-66.9534,0.076
3.97112e-06,0.00101505,0.0524021,0.00354301,0.000148318,1.11554e-05,0.0300793,0.0290461,10,-579,-0.847051,-0.847051,-64.8395,-64.8395,0.08
4.5943e-06,0.00101505,0.0525225,0.00358689,0.000163389,7.43693e-06,0.0300873,0.0230205,10,-640,-0.890571,-0.890571,-62.4074,-62.4074,0.084
5.27919e-06,0.00101505,0.0526428,0.00362317,0.000179176,4.95795e-06,0.0300958,0.01837,10,-688,-0.933259,-0.933259,-59.7196,-59.7196,0.088
6.02866e-06,0.00101505,0.0527632,0.00365979,0.000195676,3.3053e-06,0.0301046,0.0152985,10,-721,-0.975131,-0.975131,-56.8347,-56.8347,0.092
6.84555e-06,0.00101505,0.0528837,0.00369848,0.00021289,2.20353e-06,0.0301138,0.0134236,10,-743,-1.01619,-1.01619,-53.8187,-53.8187,0.096
7.73272e-06,0.00101471,0.0530041,0.00374098,0.000230814,-2.73219e-05,0.0301234,0.0124904,9,-756,-1.05634,-1.05634,-50.7216,-50.7216,0.1
8.693e-06,0.00101471,0.0531246,0.00379004,0.000249446,-1.82146e-05,0.0301333,0.0124152,9,-761,-1.09451,-1.09451,-47.5833,-47.5833,0.104
9.72923e-06,0.00101505,0.0532452,0.00384393,0.000268786,1.66479e-05,0.0301437,0.0127682,9,-762,-1.1323,-1.1323,-44.4393,-44.4393,0.108
1.08442e-05,0.00101505,0.0533658,0.00390232,0.000288831,1.10986e-05,0.0301544,0.0133778,9,-760,-1.1706,-1.1706,-41.3073,-41.3073,0.112
1.20408e-05,0.00101505,0.0534864,0.00396278,0.00030958,7.39905e-06,0.0301654,0.0139569,9,-758,-1.20775,-1.20775,-38.1976,-38.1976,0.116
1.33218e-05,0.00101505,0.0536071,0.00402359,0.00033103,4.9327e-06,0.0301769,0.0143718,9,-758,-1.2438,-1.2438,-35.1086,-35.1086,0.12
1.469e-05,0.00101505,0.0537279,0.0040844,0.00035318,3.28847e-06,0.0301887,0.0146484,8,-759,-1.27876,-1.27876,-32.0334,-32.0334,0.124
1.61482e-05,0.00101505,0.0538486,0.00414589,0.000376029,2.19231e-06,0.0302009,0.0148904,8,-761,-1.31264,-1.31264,-28.9664,-28.9664,0.128
1.76992e-05,0.00101505,0.0539695,0.00421154,0.000399574,1.46154e-06,0.0302135,0.0153972,8,-760,-1.34542,-1.34542,-25.9071,-25.9071,0.132
1.93457e-05,0.00101505,0.0540903,0.00428133,0.000423814,9.7436e-07,0.0302265,0.0160806,8,-757,-1.37708,-1.37708,-22.8667,-22.8667,0.136
2.10906e-05,0.00101505,0.0542113,0.00435768,0.000448746,6.49573e-07,0.0302398,0.0170832,8,-751,-1.40761,-1.40761,-19.8531,-19.8531,0.14
2.29366e-05,0.00101505,0.0543323,0.00443818,0.00047437,4.33049e-07,0.0302534,0.0180971,7,-745,-1.43696,-1.43696,-16.8795,-16.8795,0.144
2.48865e-05,0.00101505,0.0544533,0.00451971,0.000500683,2.88699e-07,0.0302675,0.0188594,7,-741,-1.46512,-1.46512,-13.9455,-13.9455,0.148
2.6943e-05,0.00101505,0.0545744,0.00460194,0.000527684,1.92466e-07,0.0302819,0.0194252,7,-739,-1.49205,-1.49205,-11.0408,-11.0408,0.152
2.91089e-05,0.00101505,0.0546956,0.00468382,0.000555371,1.28311e-07,0.0302967,0.0197736,7,-739,-1.51772,-1.51772,-8.157,-8.157,0.156
3.13869e-05,0.00101505,0.0548168,0.00476363,0.000583742,8.55405e-08,0.0303118,0.0198331,6,-742,-1.54209,-1.54209,-5.28453,-5.28453,0.16
3.37797e-05,0.00101505,0.0549381,0.00483895,0.000612796,5.7027e-08,0.0303273,0.0194985,6,-749,-1.56513,-1.56513,-2.41075,-2.41075,0.164
