joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, nonlinear_term_torque_joint1, PD_term_torque_joint1, nonlinear_term_torque_joint2, PD_term_torque_joint2, current_time
1.4565,1.45583,0.96,0.96117,-8.73251e-08,0,-5.7577e-08,0,-2,-43,0,-2,-56.311,13.311,0.004
1.4565,1.45583,0.96,0.96108,-3.49161e-07,0,-2.30216e-07,-0.00754322,-2,-116,-0,-2,-56.3183,-59.6817,0.008
1.4565,1.45583,0.96,0.961014,-7.85297e-07,0,-5.17778e-07,-0.0105567,-2,-146,-0,-2,-56.3237,-89.6763,0.012
1.4565,1.45583,0.96,0.960958,-1.39552e-06,0,-9.20126e-07,-0.0116731,-2,-157,-0,-2,-56.3282,-100.672,0.016
1.4565,1.45583,0.96,0.960919,-2.17963e-06,0,-1.43712e-06,-0.0110642,-2,-152,-0,-2,-56.3313,-95.6687,0.02
1.4565,1.45583,0.96,0.9609,-3.13742e-06,0,-2.06863e-06,-0.00895966,-2,-132,-0,-2,-56.3329,-75.6671,0.024
1.4565,1.45583,0.96,0.960896,-4.26866e-06,0,-2.8145e-06,-0.00623223,-2,-106,-0,-2,-56.3331,-49.6669,0.028
1.4565,1.45583,0.96,0.960906,-5.57316e-06,0,-3.67461e-06,-0.00334867,-2,-78,-0,-2,-56.3323,-21.6677,0.032
1.4565,1.45583,0.96,0.960926,-7.05071e-06,0,-4.64882e-06,-0.000591366,-2,-51,-0,-2,-56.3308,5.33075,0.036
1.4565,1.45583,0.96,0.960952,-8.70109e-06,0,-5.73698e-06,0.00176508,-2,-28,0,-2,-56.3287,28.3287,0.04
1.4565,1.45583,0.96,0.960981,-1.05241e-05,0,-6.93897e-06,0.00359515,-2,-11,0,-2,-56.3263,45.3263,0.044
1.4565,1.45583,0.96,0.96101,-1.25195e-05,0,-8.25463e-06,0.00487279,-2,1,0,-2,-56.3239,57.3239,0.048
1.4565,1.45583,0.96,0.961038,-1.46872e-05,0,-9.68385e-06,0.0055518,-2,8,0,-2,-56.3217,64.3217,0.052
1.4565,1.45583,0.96,0.961064,-1.70268e-05,0,-1.12265e-05,0.00583173,-2,11,0,-2,-56.3196,67.3196,0.056
1.4565,1.45583,0.96,0.961086,-1.95382e-05,0,-1.28824e-05,0.00573044,-2,10,0,-2,-56.3179,66.3179,0.06
1.4565,1.45583,0.96,0.961104,-2.22213e-05,0,-1.46514e-05,0.00534621,-2,7,0,-2,-56.3164,63.3164,0.064
1.4565,1.45583,0.96,0.961119,-2.50757e-05,0,-1.65334e-05,0.00483094,-2,2,0,-2,-56.3152,58.3152,0.068
1.4565,1.45583,0.96,0.961131,-2.81012e-05,0,-1.85283e-05,0.00417073,-2,-3,0,-2,-56.3142,53.3142,0.072
1.4565,1.45583,0.959999,0.961139,-3.12977e-05,0,-2.06359e-05,0.00350026,-2,-10,0,-2,-56.3135,46.3135,0.076
1.4565,1.45583,0.959999,0.961146,-3.4665e-05,0,-2.2856e-05,0.00285174,-2,-16,0,-2,-56.313,40.313,0.08
1.4565,1.45583,0.959999,0.96115,-3.82028e-05,0,-2.51887e-05,0.00227544,-2,-21,0,-2,-56.3127,35.3127,0.084
1.4565,1.45583,0.959999,0.961155,-4.1911e-05,0,-2.76336e-05,0.00192004,-2,-24,0,-2,-56.3123,32.3123,0.088
1.4565,1.45583,0.959999,0.961158,-4.57893e-05,0,-3.01907e-05,0.00156793,-2,-28,0,-2,-56.312,28.312,0.092
1.4565,1.45583,0.959999,0.961163,-4.98375e-05,0,-3.28599e-05,0.00141957,-2,-29,0,-2,-56.3116,27.3116,0.096
1.4565,1.45583,0.959999,0.961169,-5.40554e-05,0,-3.56409e-05,0.00143583,-2,-29,0,-2,-56.3112,27.3112,0.1
1.4565,1.45583,0.959999,0.961175,-5.84428e-05,0,-3.85337e-05,0.00150424,-2,-28,0,-2,-56.3106,28.3106,0.104
1.4565,1.45583,0.959999,0.961183,-6.29995e-05,0,-4.15381e-05,0.00166502,-2,-26,0,-2,-56.31,30.31,0.108
1.4565,1.45583,0.959998,0.961191,-6.77253e-05,0,-4.4654e-05,0.00174341,-2,-26,0,-2,-56.3094,30.3094,0.112
1.4565,1.45583,0.959998,0.961198,-7.262e-05,0,-4.78813e-05,0.00176689,-2,-25,0,-2,-56.3088,31.3088,0.116
1.4565,1.45583,0.959998,0.961205,-7.76833e-05,0,-5.12198e-05,0.00172495,-2,-26,0,-2,-56.3083,30.3083,0.12
1.4565,1.45583,0.959998,0.96121,-8.29152e-05,0,-5.46693e-05,0.00163941,-2,-26,0,-2,-56.3078,30.3078,0.124
1.4565,1.45583,0.959998,0.961215,-8.83153e-05,0,-5.82298e-05,0.00146722,-2,-28,0,-2,-56.3074,28.3074,0.128
1.4565,1.45583,0.959997,0.961219,-9.38834e-05,0,-6.19011e-05,0.00135243,-2,-29,0,-2,-56.3071,27.3071,0.132
1.4565,1.45583,0.959997,0.961222,-9.96194e-05,0,-6.56831e-05,0.00113195,-2,-31,0,-2,-56.3069,25.3069,0.136
1.4565,1.45583,0.959997,0.961225,-0.000105523,0,-6.95756e-05,0.000956169,-2,-33,0,-2,-56.3067,23.3067,0.14
1.45649,1.45583,0.959996,0.961227,-0.000111594,0,-7.35785e-05,0.000810191,-2,-34,0,-2,-56.3065,22.3065,0.144
1.45649,1.45583,0.959996,0.961229,-0.000117832,0,-7.76917e-05,0.000712873,-2,-35,0,-2,-56.3063,21.3063,0.148
1.45649,1.45583,0.959996,0.96123,-0.000124238,0,-8.1915e-05,0.000590412,-2,-36,0,-2,-56.3062,20.3062,0.152
1.45649,1.45583,0.959995,0.961232,-0.00013081,0,-8.62482e-05,0.000566354,-2,-36,0,-2,-56.306,20.306,0.156
1.45649,1.45583,0.959995,0.961234,-0.000137549,0,-9.06913e-05,0.000521524,-1,-36,0,-1,-56.3059,20.3059,0.16
1.45649,1.45583,0.959995,0.961236,-0.000144454,0,-9.52442e-05,0.000520428,-1,-36,0,-1,-56.3057,20.3057,0.164
1.45649,1.45583,0.959994,0.961238,-0.000151525,0,-9.99066e-05,0.000548489,-1,-36,0,-1,-56.3055,20.3055,0.168
1.45649,1.45583,0.959994,0.961241,-0.000158762,0,-0.000104678,0.000595986,-1,-35,0,-1,-56.3053,21.3053,0.172
1.45649,1.45583,0.959994,0.961244,-0.000166165,0,-0.00010956,0.000656443,-1,-35,0,-1,-56.3051,21.3051,0.176
1.45649,1.45583,0.959993,0.961248,-0.000173734,0,-0.00011455,0.000725538,-1,-34,0,-1,-56.3048,22.3048,0.18
1.45649,1.45583,0.959993,0.961251,-0.000181468,0,-0.000119649,0.000771601,-1,-33,0,-1,-56.3045,23.3045,0.184
1.45649,1.45583,0.959992,0.961255,-0.000189367,0,-0.000124858,0.00080231,-1,-33,0,-1,-56.3042,23.3042,0.188
1.45649,1.45583,0.959992,0.961258,-0.000197431,0,-0.000130175,0.000851573,-1,-32,0,-1,-56.3039,24.3039,0.192
1.45649,1.45583,0.959991,0.961263,-0.00020566,0,-0.0001356,0.000970789,-1,-31,0,-1,-56.3035,25.3035,0.196
1.45649,1.45583,0.959991,0.961269,-0.000214054,0,-0.000141134,0.00107906,-1,-30,0,-1,-56.3031,26.3031,0.2
1.45648,1.45583,0.95999,0.961274,-0.000222612,0,-0.000146777,0.00115123,-1,-29,0,-1,-56.3027,27.3027,0.204
1.45648,1.45583,0.959989,0.96128,-0.000231334,0,-0.000152528,0.00131452,-1,-28,0,-1,-56.3022,28.3022,0.208
1.45648,1.45583,0.959989,0.961288,-0.000240219,0,-0.000158386,0.00153854,-1,-25,0,-1,-56.3015,31.3015,0.212
1.45648,1.45583,0.959988,0.961296,-0.000249269,0,-0.000164353,0.00168788,-1,-24,0,-1,-56.3009,32.3009,0.216
1.45648,1.45583,0.959987,0.961305,-0.000258482,0,-0.000170428,0.00184503,-1,-22,0,-1,-56.3002,34.3002,0.22
1.45648,1.45583,0.959987,0.961313,-0.000267859,0,-0.00017661,0.001921,-1,-21,0,-1,-56.2995,35.2995,0.224
1.45648,1.45583,0.959986,0.961321,-0.000277398,0,-0.0001829,0.00194286,-1,-21,0,-1,-56.2989,35.2989,0.228
1.45648,1.45583,0.959985,0.961327,-0.000287101,0,-0.000189297,0.00181348,-1,-22,0,-1,-56.2984,34.2984,0.232
1.45648,1.45583,0.959985,0.961332,-0.000296966,0,-0.000195802,0.00161206,-1,-24,0,-1,-56.298,32.298,0.236
1.45648,1.45583,0.959984,0.961337,-0.000306993,0,-0.000202413,0.00144899,-1,-25,0,-1,-56.2976,31.2976,0.24
1.45647,1.45583,0.959983,0.961339,-0.000317183,0,-0.000209132,0.00119632,-1,-27,0,-1,-56.2974,29.2974,0.244
1.45647,1.45583,0.959982,0.961341,-0.000327535,0,-0.000215957,0.0009415,-1,-30,0,-1,-56.2973,26.2973,0.248
1.45647,1.45583,0.959981,0.961342,-0.000338049,0,-0.00022289,0.000742831,-1,-32,0,-1,-56.2972,24.2972,0.252
1.45647,1.45583,0.95998,0.961343,-0.000348725,0,-0.000229928,0.000552802,-1,-33,0,-1,-56.2971,23.2971,0.256
1.45647,1.45583,0.959979,0.961344,-0.000359562,0,-0.000237074,0.000426117,-1,-34,0,-1,-56.297,22.297,0.26
1.45647,1.45583,0.959978,0.961345,-0.00037056,0,-0.000244325,0.00034166,-1,-35,0,-1,-56.297,21.297,0.264
1.45647,1.45583,0.959977,0.961346,-0.00038172,0,-0.000251683,0.000314146,-1,-35,0,-1,-56.2969,21.2969,0.268
1.45646,1.45583,0.959976,0.961347,-0.00039304,0,-0.000259147,0.000324594,-1,-35,0,-1,-56.2968,21.2968,0.272
1.45646,1.45583,0.959975,0.961349,-0.000404521,0,-0.000266717,0.000389142,-1,-34,0,-1,-56.2966,22.2966,0.276
1.45646,1.45583,0.959974,0.961352,-0.000416162,0,-0.000274393,0.000489755,0,-33,0,0,-56.2964,23.2964,0.28
