joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, propo_term_torque_joint1, deriv_term_torque_joint1, propo_term_torque_joint2, deriv_term_torque_joint2, current_time
0.04,0.0985842,0.022,0.0244746,9.41623e-08,0,6.2375e-08,0,322,14,322.213,-0.000329568,14.8475,-0.0002495,0.004
0.04,0.0985835,0.022,0.0244311,3.76499e-07,-5.75818e-05,2.494e-07,-0.00362766,322,0,322.209,-0.202854,14.5863,-14.5116,0.008
0.04,0.0985824,0.022,0.0244027,8.46783e-07,-0.000124761,5.60926e-07,-0.00477929,321,-4,322.203,-0.439626,14.4163,-19.1194,0.012
0.04,0.09856,0.022,0.0243772,1.50479e-06,-0.00195458,9.96803e-07,-0.00531672,315,-7,322.08,-6.84631,14.2629,-21.2709,0.016
0.04,0.0985085,0.022,0.0243561,2.35029e-06,-0.0055929,1.55688e-06,-0.00530073,302,-7,321.797,-19.5834,14.1365,-21.2091,0.02
0.04,0.0984314,0.022,0.0243402,3.38307e-06,-0.010149,2.24101e-06,-0.0048582,285,-5,321.373,-35.5333,14.0411,-19.4418,0.024
0.04,0.0983302,0.022,0.0243281,4.60288e-06,-0.0152017,3.04904e-06,-0.00424648,267,-3,320.816,-53.2222,13.9684,-16.9981,0.028
0.0400001,0.0982076,0.022,0.0243198,6.00952e-06,-0.0203553,3.98083e-06,-0.00352197,248,0,320.141,-71.2645,13.9186,-14.1038,0.032
0.0400001,0.0980618,0.0220001,0.024316,7.60276e-06,-0.0257199,5.03622e-06,-0.00266468,229,3,319.339,-90.0464,13.8957,-10.6789,0.036
0.0400001,0.0979001,0.0220001,0.0243153,9.38236e-06,-0.0306208,6.21506e-06,-0.00183404,211,6,318.45,-107.206,13.8914,-7.361,0.04
0.0400002,0.0977222,0.0220001,0.024317,1.13481e-05,-0.0352412,7.51721e-06,-0.00107874,194,9,317.471,-123.384,13.9016,-4.34501,0.044
0.0400002,0.0975294,0.0220001,0.0243181,1.34998e-05,-0.0395595,8.94252e-06,-0.000632785,177,11,316.41,-138.505,13.9076,-2.56691,0.048
0.0400003,0.0973224,0.0220002,0.0243181,1.58371e-05,-0.0436187,1.04908e-05,-0.000421856,162,12,315.272,-152.721,13.9074,-1.72939,0.052
0.0400003,0.0971072,0.0220002,0.0243184,1.836e-05,-0.0470159,1.2162e-05,-0.000252447,149,12,314.088,-164.62,13.9092,-1.05843,0.056
0.0400004,0.096883,0.0220003,0.0243184,2.1068e-05,-0.0500292,1.39559e-05,-0.000168298,137,13,312.854,-175.176,13.9089,-0.729015,0.06
0.0400005,0.0966515,0.0220003,0.0243177,2.39611e-05,-0.0526427,1.58723e-05,-0.00016978,127,13,311.58,-184.333,13.9044,-0.742611,0.064
0.0400006,0.0964172,0.0220004,0.0243174,2.7039e-05,-0.0546154,1.79112e-05,-0.000141978,119,13,310.291,-191.249,13.9019,-0.639556,0.068
0.0400007,0.0961764,0.0220005,0.0243174,3.03014e-05,-0.0564776,2.00723e-05,-9.46519e-05,111,13,308.966,-197.777,13.9014,-0.458897,0.072
0.0400009,0.0959311,0.0220006,0.024317,3.37482e-05,-0.0580933,2.23555e-05,-9.18922e-05,104,13,307.617,-203.445,13.8989,-0.456991,0.076
0.040001,0.0956841,0.0220007,0.0243181,3.73792e-05,-0.0593143,2.47607e-05,2.51113e-05,98,13,306.257,-207.731,13.9045,0.0014024,0.08
0.0400012,0.0954333,0.0220008,0.0243177,4.1194e-05,-0.0604451,2.72877e-05,-1.205e-05,93,13,304.877,-211.702,13.9018,-0.157351,0.084
0.0400013,0.0951766,0.0220009,0.024317,4.51925e-05,-0.0616884,2.99364e-05,-6.56152e-05,87,13,303.464,-216.068,13.897,-0.382206,0.088
0.0400015,0.0949171,0.022001,0.0243177,4.93744e-05,-0.0627476,3.27066e-05,1.38384e-05,82,13,302.036,-219.789,13.9004,-0.0754729,0.092
0.0400017,0.0946566,0.0220011,0.0243174,5.37396e-05,-0.0635401,3.55982e-05,-1.95653e-05,78,13,300.602,-222.578,13.8975,-0.220654,0.096
0.0400019,0.0943961,0.0220013,0.0243177,5.82877e-05,-0.0640684,3.8611e-05,1.57474e-05,74,13,299.168,-224.443,13.8987,-0.0914544,0.1
0.0400022,0.0941284,0.0220015,0.0243177,6.30187e-05,-0.0650252,4.17448e-05,1.04982e-05,69,13,297.694,-227.809,13.8977,-0.124986,0.104
0.0400025,0.0938654,0.0220016,0.0243177,6.79321e-05,-0.0652601,4.49996e-05,6.99883e-06,67,13,296.246,-228.648,13.8967,-0.152003,0.108
0.0400027,0.0935977,0.0220018,0.0243177,7.3028e-05,-0.0658197,4.83752e-05,4.66589e-06,64,13,294.772,-230.624,13.8956,-0.174837,0.112
0.040003,0.093332,0.022002,0.0243177,7.83059e-05,-0.06602,5.18714e-05,3.11059e-06,61,13,293.309,-231.344,13.8943,-0.195043,0.116
0.0400034,0.0930611,0.0220022,0.0243177,8.37657e-05,-0.0665854,5.54881e-05,2.07373e-06,58,13,291.818,-233.342,13.8931,-0.213657,0.12
0.0400037,0.0927941,0.0220025,0.0243181,8.94072e-05,-0.0666457,5.92251e-05,3.01734e-05,56,13,290.347,-233.573,13.8938,-0.116207,0.124
0.0400041,0.092527,0.0220027,0.0243177,9.52301e-05,-0.0666858,6.30823e-05,-8.67532e-06,55,13,288.876,-233.734,13.8902,-0.287031,0.128
0.0400045,0.0922565,0.022003,0.0243177,0.000101234,-0.0670005,6.70596e-05,-5.78355e-06,52,13,287.386,-234.856,13.8887,-0.291372,0.132
0.0400049,0.0919891,0.0220032,0.0243177,0.000107419,-0.0669512,7.11567e-05,-3.8557e-06,51,13,285.913,-234.705,13.887,-0.30005,0.136
0.0400053,0.0917196,0.0220035,0.0243177,0.000113785,-0.067091,7.53736e-05,-2.57046e-06,49,13,284.428,-235.217,13.8852,-0.311776,0.14
0.0400058,0.0914539,0.0220038,0.0243177,0.000120332,-0.0668676,7.97101e-05,-1.71364e-06,48,13,282.965,-234.458,13.8834,-0.325695,0.144
0.0400063,0.0911886,0.0220042,0.0243177,0.000127058,-0.0666898,8.4166e-05,-1.14243e-06,47,13,281.503,-233.859,13.8814,-0.341234,0.148
0.0400068,0.0909212,0.0220045,0.0243177,0.000133965,-0.0667441,8.87412e-05,-7.61619e-07,45,13,280.029,-234.073,13.8793,-0.358011,0.152
0.0400074,0.0906558,0.0220049,0.0243177,0.000141052,-0.0666075,9.34356e-05,-5.07746e-07,44,13,278.567,-233.62,13.8772,-0.375773,0.156
0.0400079,0.0903957,0.0220053,0.0243177,0.000148318,-0.0660845,9.82489e-05,-3.38497e-07,45,13,277.133,-231.815,13.8749,-0.39435,0.16
0.0400086,0.0901338,0.0220057,0.0243181,0.000155764,-0.0658799,0.000103181,2.85653e-05,44,13,275.689,-231.125,13.8745,-0.298464,0.164
0.0400092,0.0898747,0.0220061,0.0243177,0.000163389,-0.0655131,0.000108232,-9.74742e-06,44,13,274.26,-229.868,13.8699,-0.471918,0.168
0.0400099,0.0896152,0.0220065,0.0243177,0.000171193,-0.0652974,0.000113402,-6.49828e-06,43,13,272.829,-229.14,13.8672,-0.4796,0.172
0.0400106,0.0893592,0.022007,0.0243177,0.000179176,-0.0648657,0.00011869,-4.33219e-06,43,13,271.418,-227.657,13.8645,-0.492087,0.176
0.0400113,0.0891025,0.0220075,0.0243177,0.000187337,-0.0646354,0.000124096,-2.88812e-06,43,13,270.002,-226.88,13.8615,-0.507936,0.18
0.0400121,0.0888475,0.022008,0.0243177,0.000195676,-0.064338,0.00012962,-1.92542e-06,42,13,268.595,-225.868,13.8585,-0.526182,0.184
0.0400129,0.0885974,0.0220085,0.024317,0.000204194,-0.0637366,0.000135262,-5.88655e-05,43,13,267.215,-223.793,13.8512,-0.776511,0.188
0.0400137,0.0883507,0.0220091,0.0243181,0.00021289,-0.0630478,0.000141022,4.71291e-05,44,13,265.854,-221.412,13.8541,-0.375573,0.192
0.0400146,0.0880999,0.0220096,0.0243177,0.000221763,-0.0629341,0.0001469,2.6285e-06,43,13,264.469,-221.045,13.8485,-0.577087,0.196
0.0400155,0.0878515,0.0220102,0.0243174,0.000230814,-0.0626567,0.000152896,-2.70386e-05,42,13,263.098,-220.106,13.8429,-0.719737,0.2
0.0400164,0.0876079,0.0220109,0.024317,0.000240041,-0.0620688,0.000159008,-4.68167e-05,43,13,261.753,-218.081,13.8371,-0.8233,0.204
0.0400174,0.0873623,0.0220115,0.0243177,0.000249446,-0.0618495,0.000165238,2.63707e-05,43,13,260.397,-217.346,13.8373,-0.55547,0.208
0.0400184,0.087119,0.0220122,0.0243177,0.000259028,-0.0615018,0.000171585,1.75805e-05,42,13,259.053,-216.163,13.8333,-0.616019,0.212
0.0400195,0.0868803,0.0220129,0.0243177,0.000268786,-0.0608957,0.000178049,1.17203e-05,43,13,257.735,-214.076,13.8291,-0.665316,0.216
0.0400206,0.0866388,0.0220136,0.0243181,0.00027872,-0.060722,0.00018463,3.66045e-05,42,13,256.4,-213.503,13.8268,-0.592103,0.22
0.0400217,0.0864018,0.0220144,0.0243177,0.000288831,-0.0602319,0.000191328,-4.38794e-06,43,13,255.091,-211.823,13.8202,-0.782862,0.224
0.0400229,0.0861662,0.0220151,0.0243177,0.000299118,-0.05979,0.000198142,-2.92529e-06,43,13,253.788,-210.312,13.8155,-0.804267,0.228
0.0400241,0.0859299,0.022016,0.0243177,0.00030958,-0.059553,0.000205072,-1.95019e-06,42,12,252.482,-209.519,13.8107,-0.828088,0.232
0.0400253,0.0856956,0.0220168,0.0243177,0.000320217,-0.0592223,0.000212118,-1.30013e-06,42,12,251.186,-208.399,13.8057,-0.853674,0.236
0.0400266,0.0854648,0.0220176,0.0243177,0.00033103,-0.0587138,0.000219281,-8.66753e-07,43,12,249.91,-206.657,13.8005,-0.880591,0.24
0.040028,0.085233,0.0220185,0.0243177,0.000342018,-0.0584613,0.00022656,-5.77836e-07,42,12,248.628,-205.812,13.7952,-0.908549,0.244
0.0400294,0.0850053,0.0220195,0.024317,0.00035318,-0.0579474,0.000233954,-5.79671e-05,43,12,247.368,-204.052,13.7855,-1.16768,0.248
0.0400308,0.0847783,0.0220204,0.0243177,0.000364517,-0.0575472,0.000241464,1.89371e-05,43,12,246.111,-202.691,13.7839,-0.890106,0.252
0.0400323,0.08455,0.0220214,0.0243177,0.000376029,-0.0573956,0.000249089,1.26248e-05,42,12,244.847,-202.201,13.7781,-0.945858,0.256
0.0400338,0.084325,0.0220224,0.0243177,0.000387714,-0.0570066,0.00025683,8.4165e-06,42,12,243.602,-200.88,13.772,-0.993654,0.26
0.0400354,0.0841036,0.0220234,0.0243174,0.000399574,-0.0564594,0.000264686,-2.31799e-05,43,12,242.375,-199.006,13.7637,-1.15146,0.264
0.040037,0.0838783,0.0220245,0.0243174,0.000411607,-0.0564113,0.000272657,-1.54533e-05,42,12,241.127,-198.88,13.7572,-1.15244,0.268
0.0400387,0.0836572,0.0220256,0.024317,0.000423814,-0.0560337,0.000280743,-3.90931e-05,42,12,239.902,-197.601,13.7485,-1.27934,0.272
0.0400404,0.0834382,0.0220268,0.0243177,0.000436193,-0.0556093,0.000288943,3.15198e-05,42,12,238.688,-196.159,13.7458,-1.02969,0.276
0.0400422,0.0832174,0.0220279,0.024317,0.000448746,-0.0554702,0.000297259,-3.65687e-05,41,12,237.464,-195.716,13.7346,-1.33531,0.28
0.040044,0.0830018,0.0220291,0.0243174,0.000461472,-0.0549457,0.000305688,4.41181e-06,42,12,236.268,-193.925,13.7295,-1.20511,0.284
0.0400459,0.0827852,0.0220304,0.0243181,0.00047437,-0.0546824,0.000314232,6.05231e-05,42,12,235.066,-193.049,13.7262,-1.01484,0.288
0.0400478,0.0825706,0.0220317,0.024317,0.000487441,-0.0543341,0.000322891,-4.60241e-05,42,12,233.876,-191.875,13.7123,-1.47566,0.292
0.0400498,0.0823523,0.022033,0.0243174,0.000500683,-0.0544186,0.000331663,-1.89179e-06,40,12,232.664,-192.217,13.7065,-1.33422,0.296
0.0400518,0.0821412,0.0220343,0.0243174,0.000514098,-0.0538703,0.000340549,-1.26119e-06,41,12,231.492,-190.345,13.6985,-1.36724,0.3
0.0400539,0.081937,0.0220357,0.0243174,0.000527684,-0.052929,0.000349549,-8.40794e-07,43,12,230.357,-187.098,13.6902,-1.40156,0.304
0.040056,0.0817218,0.0220371,0.0243174,0.000541442,-0.0532227,0.000358662,-5.6053e-07,40,12,229.162,-188.175,13.6817,-1.43689,0.308
0.0400582,0.0815183,0.0220386,0.0243174,0.000555371,-0.0524397,0.000367889,-3.73686e-07,42,12,228.03,-185.483,13.673,-1.47305,0.312
0.0400605,0.0813137,0.0220401,0.0243174,0.000569471,-0.052004,0.000377229,-2.49124e-07,42,12,226.893,-184.007,13.664,-1.50991,0.316
0.0400628,0.0811068,0.0220416,0.0243174,0.000583742,-0.0519151,0.000386683,-1.66083e-07,41,12,225.742,-183.746,13.6548,-1.5474,0.32
0.0400651,0.080903,0.0220431,0.0243174,0.000598184,-0.0515967,0.000396249,-1.10722e-07,41,12,224.608,-182.682,13.6455,-1.58544,0.324
0.0400676,0.0806998,0.0220448,0.0243174,0.000612796,-0.0513269,0.000405928,-7.38146e-08,41,12,223.477,-181.789,13.6358,-1.62401,0.328
0.04007,0.0804956,0.0220464,0.0243174,0.000627578,-0.0512334,0.00041572,-4.92097e-08,40,11,222.341,-181.513,13.626,-1.66308,0.332
0.0400726,0.0802949,0.0220481,0.0243174,0.00064253,-0.0508831,0.000425625,-3.28065e-08,40,11,221.223,-180.34,13.6159,-1.70263,0.336
0.0400752,0.0800966,0.0220498,0.0243174,0.000657651,-0.0504481,0.000435642,-2.1871e-08,41,11,220.118,-178.87,13.6055,-1.74265,0.34
0.0400778,0.0798917,0.0220516,0.0243174,0.000672943,-0.0507051,0.000445771,-1.45807e-08,39,11,218.976,-179.823,13.595,-1.78314,0.344
0.0400806,0.0796993,0.0220534,0.0243174,0.000688403,-0.0498399,0.000456012,-9.72044e-09,41,11,217.903,-176.849,13.5841,-1.82409,0.348
0.0400833,0.0795027,0.0220552,0.0243181,0.000704033,-0.0496086,0.000466366,5.75754e-05,40,11,216.806,-176.094,13.5772,-1.63516,0.352
0.0400862,0.0793078,0.0220571,0.0243174,0.000719831,-0.0493105,0.000476831,-1.91983e-05,40,11,215.719,-175.106,13.5618,-1.98412,0.356
0.0400891,0.0791144,0.022059,0.0243174,0.000735798,-0.0489966,0.000487408,-1.27988e-05,40,11,214.639,-174.063,13.5502,-2.00083,0.36
0.0400921,0.0789191,0.022061,0.0243174,0.000751934,-0.0489313,0.000498096,-8.53256e-06,39,11,213.549,-173.891,13.5384,-2.02652,0.364
0.0400951,0.0787295,0.022063,0.0243174,0.000768238,-0.0484271,0.000508896,-5.68838e-06,40,11,212.489,-172.184,13.5263,-2.05834,0.368
0.0400982,0.0785374,0.0220651,0.024317,0.000784709,-0.0482925,0.000519808,-3.25832e-05,39,11,211.415,-171.77,13.5119,-2.20956,0.372
0.0401014,0.0783494,0.0220672,0.0243177,0.000801349,-0.0478572,0.00053083,3.58597e-05,40,11,210.364,-170.305,13.5034,-1.97988,0.376
0.0401046,0.0781625,0.0220693,0.0243174,0.000818156,-0.0474807,0.000541963,-4.88444e-06,40,11,209.318,-169.046,13.4884,-2.18739,0.38
0.0401079,0.0779766,0.0220715,0.0243174,0.00083513,-0.0471433,0.000553207,-3.25629e-06,40,11,208.278,-167.925,13.4753,-2.22585,0.384
0.0401113,0.0777925,0.0220737,0.0243181,0.000852272,-0.0467744,0.000564562,5.5411e-05,40,11,207.246,-166.694,13.466,-2.03661,0.388
0.0401148,0.0776084,0.022076,0.024317,0.00086958,-0.0465285,0.000576028,-4.94321e-05,40,10,206.215,-165.893,13.4461,-2.50184,0.392
0.0401183,0.077429,0.0220784,0.0243181,0.000887055,-0.0459615,0.000587604,5.3418e-05,41,11,205.209,-163.97,13.4384,-2.13674,0.396
0.0401219,0.077248,0.0220807,0.024317,0.000904697,-0.0457275,0.00059929,-5.07608e-05,40,10,204.194,-163.213,13.4179,-2.6002,0.4
0.0401255,0.0770704,0.0220831,0.0243174,0.000922505,-0.0452835,0.000611086,-5.04958e-06,41,10,203.197,-161.721,13.4055,-2.46454,0.404
0.0401292,0.0768904,0.0220856,0.0243177,0.000940478,-0.0451891,0.000622992,2.54245e-05,40,11,202.187,-161.453,13.3927,-2.39027,0.408
0.040133,0.0767146,0.0220881,0.0243177,0.000958618,-0.0447806,0.000635008,1.69497e-05,41,10,201.198,-160.087,13.3776,-2.47223,0.412
0.0401369,0.0765391,0.0220907,0.0243177,0.000976923,-0.0444795,0.000647134,1.12998e-05,41,10,200.212,-159.098,13.3623,-2.54334,0.416
0.0401409,0.076366,0.0220933,0.0243177,0.000995394,-0.0440773,0.000659369,7.5332e-06,41,10,199.238,-157.754,13.3466,-2.60734,0.42
0.0401449,0.0761915,0.022096,0.0243177,0.00101403,-0.0439243,0.000671714,5.02213e-06,40,10,198.256,-157.284,13.3306,-2.66677,0.424
0.040149,0.0760194,0.0220987,0.0243177,0.00103283,-0.0436207,0.000684168,3.34809e-06,41,10,197.288,-156.287,13.3143,-2.72328,0.428
0.0401531,0.0758481,0.0221014,0.0243177,0.0010518,-0.0433608,0.000696731,2.23206e-06,40,10,196.322,-155.444,13.2978,-2.77799,0.432
0.0401574,0.0756809,0.0221043,0.0243177,0.00107093,-0.042842,0.000709403,1.48804e-06,41,10,195.379,-153.695,13.2809,-2.83166,0.436
0.0401617,0.0755105,0.0221071,0.0243177,0.00109022,-0.0427553,0.000722184,9.92026e-07,40,10,194.419,-153.459,13.2637,-2.88477,0.44
0.0401661,0.0753433,0.02211,0.0243177,0.00110968,-0.0424383,0.000735073,6.61351e-07,41,10,193.475,-152.418,13.2462,-2.93765,0.444
0.0401706,0.0751778,0.022113,0.0243174,0.0011293,-0.0420831,0.000748071,-2.835e-05,41,10,192.54,-151.243,13.2264,-3.10569,0.448
0.0401751,0.0750137,0.022116,0.0243177,0.00114909,-0.0417311,0.000761178,9.89091e-06,41,10,191.612,-150.081,13.2103,-3.00515,0.452
0.0401798,0.0748513,0.0221191,0.0243177,0.00116904,-0.0413524,0.000774393,6.59394e-06,41,10,190.694,-148.825,13.1919,-3.07119,0.456
0.0401845,0.0746883,0.0221222,0.0243174,0.00118915,-0.0411576,0.000787716,-2.4395e-05,41,9,189.771,-148.214,13.1711,-3.24844,0.46
0.0401893,0.0745283,0.0221254,0.0243174,0.00120942,-0.0407686,0.000801146,-1.62633e-05,41,9,188.865,-146.923,13.152,-3.26964,0.464
0.0401942,0.0743676,0.0221286,0.0243177,0.00122986,-0.0405669,0.000814685,1.79487e-05,41,9,187.954,-146.288,13.1347,-3.18695,0.468
0.0401991,0.0742101,0.0221319,0.0243177,0.00125046,-0.0401732,0.000828331,1.19658e-05,42,9,187.06,-144.983,13.115,-3.26546,0.472
0.0402042,0.0740508,0.0221352,0.0243177,0.00127123,-0.0400548,0.000842085,7.97721e-06,41,9,186.157,-144.641,13.0949,-3.33643,0.476
0.0402093,0.0738926,0.0221386,0.0243177,0.00129215,-0.0398894,0.000855947,5.31814e-06,41,9,185.258,-144.136,13.0746,-3.40251,0.48
0.0402145,0.0737371,0.0221421,0.0243177,0.00131324,-0.0395489,0.000869915,3.54543e-06,41,9,184.374,-143.017,13.0538,-3.46548,0.484
0.0402198,0.073582,0.0221456,0.0243177,0.00133449,-0.039293,0.000883991,2.36362e-06,41,9,183.492,-142.196,13.0328,-3.52651,0.488
0.0402252,0.0734258,0.0221492,0.0243177,0.0013559,-0.0392089,0.000898174,1.57574e-06,40,9,182.604,-141.977,13.0114,-3.58639,0.492
0.0402307,0.0732718,0.0221528,0.0243177,0.00137747,-0.03898,0.000912463,1.0505e-06,40,9,181.726,-141.251,12.9897,-3.64565,0.496
0.0402362,0.0731194,0.0221565,0.0243177,0.0013992,-0.0386835,0.000926859,7.00331e-07,40,9,180.858,-140.289,12.9676,-3.70464,0.5
0.0402418,0.0729667,0.0221602,0.0243177,0.00142109,-0.0385146,0.000941362,4.66887e-07,40,9,179.987,-139.775,12.9452,-3.76358,0.504
0.0402476,0.0728171,0.022164,0.0243177,0.00144315,-0.0381428,0.000955971,3.11258e-07,40,9,179.132,-138.551,12.9224,-3.82264,0.508
0.0402534,0.0726647,0.0221679,0.0243177,0.00146536,-0.0381254,0.000970687,2.07505e-07,39,9,178.262,-138.568,12.8993,-3.88192,0.512
0.0402593,0.0725162,0.0221718,0.0243177,0.00148774,-0.037797,0.000985508,1.38337e-07,39,8,177.413,-137.497,12.8758,-3.94148,0.516
0.0402653,0.0723662,0.0221757,0.0243177,0.00151027,-0.0376933,0.00100044,9.22247e-08,39,8,176.555,-137.212,12.852,-4.00137,0.52
0.0402714,0.072219,0.0221798,0.0243177,0.00153297,-0.0373938,0.00101547,6.14831e-08,39,8,175.712,-136.244,12.8278,-4.06163,0.524
0.0402776,0.0720719,0.0221839,0.0243177,0.00155582,-0.0371941,0.00103061,4.09887e-08,39,8,174.869,-135.625,12.8033,-4.12227,0.528
0.0402838,0.0719236,0.022188,0.0243177,0.00157884,-0.0371474,0.00104585,2.73258e-08,38,8,174.019,-135.542,12.7783,-4.1833,0.532
0.0402902,0.0717803,0.0221922,0.0243177,0.00160201,-0.0367132,0.0010612,1.82172e-08,39,8,173.195,-134.103,12.7531,-4.24474,0.536
0.0402966,0.0716348,0.0221965,0.0243177,0.00162534,-0.0365964,0.00107666,1.21448e-08,38,8,172.36,-133.776,12.7274,-4.30658,0.54
0.0403032,0.0714911,0.0222008,0.0243177,0.00164883,-0.0363746,0.00109222,8.09654e-09,38,8,171.533,-133.082,12.7014,-4.36884,0.544
0.0403098,0.0713501,0.0222052,0.0243177,0.00167248,-0.0359965,0.00110788,5.39769e-09,38,8,170.722,-131.841,12.675,-4.43151,0.548
0.0403166,0.0712068,0.0222097,0.0243177,0.00169629,-0.0359459,0.00112365,3.59846e-09,38,8,169.896,-131.748,12.6482,-4.4946,0.552
0.0403234,0.0710672,0.0222142,0.0243177,0.00172025,-0.0355954,0.00113953,2.39898e-09,38,8,169.091,-130.605,12.621,-4.55811,0.556
0.0403303,0.0709279,0.0222188,0.0243177,0.00174437,-0.035333,0.00115551,1.59932e-09,38,7,168.287,-129.771,12.5935,-4.62203,0.56
0.0403374,0.0707894,0.0222235,0.0243177,0.00176865,-0.0351005,0.00117159,1.06621e-09,38,7,167.486,-129.042,12.5656,-4.68637,0.564
0.0403445,0.0706526,0.0222282,0.0243177,0.00179309,-0.0348016,0.00118778,7.10807e-10,38,7,166.695,-128.081,12.5373,-4.75112,0.568
