joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
3.127,3.12559,1.038,1.03702,-2.34478e-08,0,-7.78344e-09,0,-4,-10,-0,-0,-50.0394,-50.0394,0.004
3.127,3.12559,1.038,1.03694,-9.37725e-08,-2.87909e-05,-3.11275e-08,-0.00619005,-4,-71,0.0182955,0.0182955,-49.9791,-49.9791,0.008
3.127,3.12559,1.038,1.03689,-2.10946e-07,-1.91939e-05,-7.0023e-08,-0.00858929,-4,-94,0.0368941,0.0368941,-49.6623,-49.6623,0.012
3.127,3.12559,1.038,1.03684,-3.7494e-07,1.5995e-05,-1.2446e-07,-0.00932506,-4,-102,0.0553642,0.0553642,-49.2453,-49.2453,0.016
3.127,3.12559,1.038,1.03681,-5.85726e-07,6.82452e-05,-1.9443e-07,-0.00886547,-4,-99,0.0734173,0.0734173,-48.7975,-48.7975,0.02
3.127,3.12559,1.038,1.03679,-8.43277e-07,4.54968e-05,-2.79924e-07,-0.00752261,-4,-87,0.0909307,0.0909307,-48.3694,-48.3694,0.024
3.127,3.12559,1.038,1.03679,-1.14756e-06,3.03312e-05,-3.80931e-07,-0.00547573,-4,-67,0.108694,0.108694,-47.9982,-47.9982,0.028
3.127,3.12559,1.038,1.03679,-1.49856e-06,2.02208e-05,-4.97443e-07,-0.00342016,-4,-48,0.126622,0.126622,-47.7131,-47.7131,0.032
3.127,3.12559,1.038,1.0368,-1.89623e-06,4.22714e-05,-6.2945e-07,-0.00141638,-4,-29,0.144633,0.144633,-47.5145,-47.5145,0.036
3.127,3.12559,1.038,1.03681,-2.34056e-06,2.8181e-05,-7.76944e-07,0.000207386,-4,-13,0.162415,0.162415,-47.4,-47.4,0.04
3.127,3.12559,1.038,1.03683,-2.83151e-06,4.75782e-05,-9.39914e-07,0.00131869,-4,-2,0.180323,0.180323,-47.3535,-47.3535,0.044
3.127,3.12559,1.038,1.03684,-3.36906e-06,3.17188e-05,-1.11835e-06,0.00194439,-4,3,0.198029,0.198029,-47.3535,-47.3535,0.048
3.127,3.12559,1.038,1.03685,-3.95317e-06,2.11459e-05,-1.31225e-06,0.00218878,-4,5,0.215903,0.215903,-47.3798,-47.3798,0.052
3.127,3.12559,1.038,1.03686,-4.58383e-06,1.40973e-05,-1.52159e-06,0.00220775,-4,6,0.233886,0.233886,-47.4164,-47.4164,0.056
