joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
3.13953e-11,-0.000667834,1.03984e-11,-6.70253e-05,2.35453e-08,0,7.79844e-09,0,-7,0,-0,-0,-98.3494,-98.3494,0.004
2.51125e-10,-0.000668525,8.3175e-11,-6.70253e-05,9.41623e-08,-5.75818e-05,3.11875e-08,0,-7,0,0.0328375,0.0328375,-98.3462,-98.3462,0.008
8.47419e-10,-0.00066818,2.80674e-10,-6.66798e-05,2.11823e-07,-9.59697e-06,7.01579e-08,2.87909e-05,-7,0,0.0678533,0.0678533,-98.343,-98.343,0.012
2.00839e-09,-0.00066818,6.65201e-10,-6.66798e-05,3.76499e-07,-6.39798e-06,1.247e-07,1.91939e-05,-7,0,0.100941,0.100941,-98.341,-98.341,0.016
3.92206e-09,-0.00066818,1.29903e-09,-6.70253e-05,5.88161e-07,-4.26532e-06,1.94805e-07,-1.5995e-05,-7,0,0.133902,0.133902,-98.3384,-98.3384,0.02
6.7763e-09,-0.00066818,2.24438e-09,-6.70253e-05,8.46783e-07,-2.84355e-06,2.80463e-07,-1.06633e-05,-7,0,0.166784,0.166784,-98.3345,-98.3345,0.024
1.07589e-08,-0.00066818,3.56346e-09,-6.70253e-05,1.15234e-06,-1.8957e-06,3.81665e-07,-7.10887e-06,-7,0,0.199617,0.199617,-98.3308,-98.3308,0.028
1.60575e-08,-0.00066818,5.31841e-09,-6.70253e-05,1.50479e-06,-1.2638e-06,4.98402e-07,-4.73925e-06,-7,0,0.232424,0.232424,-98.3272,-98.3272,0.032
2.28597e-08,-0.00066818,7.57137e-09,-6.70253e-05,1.90412e-06,-8.42533e-07,6.30663e-07,-3.1595e-06,-7,0,0.265221,0.265221,-98.3238,-98.3238,0.036
3.13529e-08,-0.00066818,1.03844e-08,-6.70253e-05,2.35029e-06,-5.61689e-07,7.78441e-07,-2.10633e-06,-7,0,0.298017,0.298017,-98.3204,-98.3204,0.04
