joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, nonlinear_term_torque_joint1, PD_term_torque_joint1, nonlinear_term_torque_joint2, PD_term_torque_joint2, current_time
3.13953e-11,-0.000919352,1.03984e-11,-0.00116327,2.35453e-08,0,7.79844e-09,0,-10,-111,-0,-10,-98.3494,-12.6506,0.004
2.51125e-10,-0.000919006,8.3175e-11,-0.00116327,9.41623e-08,2.87909e-05,3.11875e-08,0,-9,-111,-0,-9,-98.3494,-12.6506,0.008
8.47419e-10,-0.000919006,2.80674e-10,-0.00116327,2.11823e-07,1.91939e-05,7.01579e-08,0,-9,-111,-0,-9,-98.3494,-12.6506,0.012
2.00839e-09,-0.000919006,6.65201e-10,-0.00115774,3.76499e-07,1.2796e-05,1.247e-07,0.000460655,-10,-106,-3.74061e-11,-10,-98.3494,-7.65063,0.016
3.92206e-09,-0.000919006,1.29903e-09,-0.00114358,5.88161e-07,8.53064e-06,1.94805e-07,0.00148753,-10,-96,-7.95418e-11,-10,-98.3494,2.34937,0.02
6.7763e-09,-0.000919006,2.24438e-09,-0.0011225,8.46783e-07,5.6871e-06,2.80463e-07,0.00274793,-10,-84,-9.61537e-11,-10,-98.3494,14.3494,0.024
1.07589e-08,-0.000918315,3.56346e-09,-0.00109486,1.15234e-06,6.13732e-05,3.81665e-07,0.00413523,-9,-70,-1.52307e-09,-9,-98.3494,28.3494,0.028
1.60575e-08,-0.000917624,5.31841e-09,-0.00106273,1.50479e-06,9.84973e-05,4.98402e-07,0.00543438,-9,-57,-3.11803e-09,-9,-98.3494,41.3494,0.032
2.28597e-08,-0.000917279,7.57137e-09,-0.00102611,1.90412e-06,9.44558e-05,6.30663e-07,0.00667476,-9,-45,-3.54601e-09,-9,-98.3494,53.3494,0.036
3.13529e-08,-0.000917279,1.03844e-08,-0.000987068,2.35029e-06,6.29705e-05,7.78441e-07,0.00770321,-9,-35,-2.62446e-09,-9,-98.3494,63.3494,0.04
4.17245e-08,-0.000917624,1.38196e-08,-0.000947337,2.84328e-06,1.31894e-05,9.41725e-07,0.00844643,-10,-27,-5.78478e-10,-10,-98.3494,71.3494,0.044
5.41616e-08,-0.00091797,1.79389e-08,-0.000908296,3.38307e-06,-1.9998e-05,1.12051e-06,0.00888433,-10,-23,8.84547e-10,-10,-98.3494,75.3494,0.048
6.88513e-08,-0.000917624,2.28043e-08,-0.000869601,3.96961e-06,1.54589e-05,1.31477e-06,0.00914747,-10,-20,-6.74037e-10,-10,-98.3494,78.3494,0.052
8.59808e-08,-0.000917624,2.84777e-08,-0.00083367,4.60288e-06,1.0306e-05,1.52452e-06,0.00909257,-10,-20,-4.28206e-10,-10,-98.3494,78.3494,0.056
1.05737e-07,-0.000917624,3.50211e-08,-0.00079843,5.28287e-06,6.87064e-06,1.74974e-06,0.00899839,-10,-20,-2.70571e-10,-10,-98.3494,78.3494,0.06
1.28306e-07,-0.000917624,4.24962e-08,-0.000764226,6.00952e-06,4.58043e-06,1.99042e-06,0.00884923,-10,-21,-1.69792e-10,-10,-98.3494,77.3494,0.064
1.53875e-07,-0.000917624,5.0965e-08,-0.000732096,6.78283e-06,3.05362e-06,2.24654e-06,0.00857704,-10,-24,-1.051e-10,-10,-98.3494,74.3494,0.068
1.82631e-07,-0.000917624,6.04892e-08,-0.000701001,7.60276e-06,2.03575e-06,2.51811e-06,0.00830921,-10,-26,-6.49958e-11,-10,-98.3494,72.3494,0.072
2.14759e-07,-0.000917624,7.11305e-08,-0.000671635,8.46927e-06,1.35716e-06,2.80511e-06,0.0079867,-10,-29,-3.9904e-11,-10,-98.3494,69.3494,0.076
2.50447e-07,-0.000917624,8.29506e-08,-0.000642959,9.38236e-06,9.04776e-07,3.10753e-06,0.00771411,-10,-31,-2.45976e-11,-10,-98.3494,67.3494,0.08
2.8988e-07,-0.000917624,9.60113e-08,-0.000614629,1.0342e-05,6.03184e-07,3.42537e-06,0.0075036,-10,-33,-1.52481e-11,-10,-98.3494,65.3494,0.084
3.33245e-07,-0.000917624,1.10374e-07,-0.000587335,1.13481e-05,4.02123e-07,3.75861e-06,0.00727688,-10,-35,-9.42048e-12,-10,-98.3494,63.3494,0.088
3.80727e-07,-0.000917624,1.26101e-07,-0.000559696,1.24007e-05,2.68082e-07,4.10724e-06,0.00715453,-10,-35,-5.88414e-12,-10,-98.3494,63.3494,0.092
4.32512e-07,-0.000917624,1.43253e-07,-0.000533438,1.34998e-05,1.78721e-07,4.47126e-06,0.0069578,-10,-37,-3.63593e-12,-10,-98.3494,61.3494,0.096
