joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, propo_term_torque, deriv_term_torque, current_time
-8.25967e-11,-0.000658852,-6.19438e-08,0,0,0,0,0.004
-6.60655e-10,-0.000658852,-2.47716e-07,0,0,0,0,0.008
-2.22931e-09,-0.000658852,-5.57228e-07,0,0,0,0,0.012
-5.28335e-09,-0.000658852,-9.90391e-07,0,0,0,0,0.016
-1.03172e-08,-0.000658852,-1.54712e-06,0,0,0,0,0.02
-1.78249e-08,-0.000658852,-2.22731e-06,0,0,0,0,0.024
-2.83002e-08,-0.000658852,-3.0309e-06,0,0,0,0,0.028
-4.22365e-08,-0.000658852,-3.95777e-06,0,0,0,0,0.032
-6.01267e-08,-0.000658852,-5.00786e-06,0,0,0,0,0.036
-8.24635e-08,-0.000658852,-6.18106e-06,0,0,0,0,0.04
-1.09739e-07,-0.000658852,-7.47729e-06,0,0,0,0,0.044
-1.42446e-07,-0.000658852,-8.89646e-06,0,0,0,0,0.048
-1.81075e-07,-0.000658852,-1.04385e-05,0,0,0,0,0.052
-2.26117e-07,-0.000658852,-1.21033e-05,0,0,0,0,0.056
-2.78064e-07,-0.000658852,-1.38907e-05,0,0,0,0,0.06
-3.37407e-07,-0.000658852,-1.58008e-05,0,0,0,0,0.064
-4.04634e-07,-0.000658506,-1.78333e-05,3.83495e-05,0,0,0,0.068
-4.80236e-07,-0.000658506,-1.99883e-05,2.13223e-05,0,0,0,0.072
-5.64703e-07,-0.000658506,-2.22655e-05,1.18552e-05,0,0,0,0.076
-6.58524e-07,-0.000658506,-2.4665e-05,6.5915e-06,0,0,0,0.08
-7.62186e-07,-0.000658506,-2.71867e-05,3.66487e-06,0,0,0,0.084
-8.7618e-07,-0.000658506,-2.98304e-05,2.03767e-06,0,0,0,0.088
-1.00099e-06,-0.000658506,-3.2596e-05,1.13294e-06,0,0,0,0.092
-1.13711e-06,-0.000658506,-3.54836e-05,6.29917e-07,0,0,0,0.096
-1.28502e-06,-0.000658506,-3.84929e-05,3.50234e-07,0,0,0,0.1
-1.44522e-06,-0.000658506,-4.16239e-05,1.9473e-07,0,0,0,0.104
-1.61818e-06,-0.000658506,-4.48765e-05,1.0827e-07,0,0,0,0.108
-1.80439e-06,-0.000658506,-4.82506e-05,6.01981e-08,0,0,0,0.112
-2.00434e-06,-0.000658506,-5.17462e-05,3.34701e-08,0,0,0,0.116
-2.21852e-06,-0.000658506,-5.53631e-05,1.86094e-08,0,0,0,0.12
-2.44741e-06,-0.000658506,-5.91013e-05,1.03468e-08,0,0,0,0.124
-2.69149e-06,-0.000658506,-6.29606e-05,5.75283e-09,0,0,0,0.128
-2.95126e-06,-0.000658506,-6.6941e-05,3.19857e-09,0,0,0,0.132
-3.22718e-06,-0.000658506,-7.10424e-05,1.77841e-09,0,0,0,0.136
-3.51976e-06,-0.000658506,-7.52647e-05,9.88795e-10,0,0,0,0.14
-3.82946e-06,-0.000658506,-7.96078e-05,5.4977e-10,0,0,0,0.144
-4.15678e-06,-0.000658506,-8.40717e-05,3.05672e-10,0,0,0,0.148
-4.5022e-06,-0.000658506,-8.86561e-05,1.69954e-10,0,0,0,0.152
-4.86619e-06,-0.000658506,-9.33611e-05,9.44942e-11,0,0,0,0.156
-5.24925e-06,-0.000658161,-9.81866e-05,3.83496e-05,0,0,0,0.16
-5.65184e-06,-0.000658506,-0.000103132,-1.70272e-05,0,0,0,0.164
-6.07447e-06,-0.000658161,-0.000108198,2.88824e-05,0,0,0,0.168
-6.51759e-06,-0.000658161,-0.000113385,1.60586e-05,0,0,0,0.172
-6.9817e-06,-0.000658161,-0.000118691,8.92859e-06,0,0,0,0.176
-7.46728e-06,-0.000658161,-0.000124118,4.9643e-06,0,0,0,0.18
-7.9748e-06,-0.000658161,-0.000129664,2.76015e-06,0,0,0,0.184
-8.50475e-06,-0.000658161,-0.00013533,1.53464e-06,0,0,0,0.188
-9.0576e-06,-0.000658161,-0.000141116,8.53262e-07,0,0,0,0.192
-9.63384e-06,-0.000658161,-0.000147021,4.74413e-07,0,0,0,0.196
-1.02339e-05,-0.000658161,-0.000153047,2.63774e-07,0,0,0,0.2
-1.08584e-05,-0.000658161,-0.000159191,1.46658e-07,0,0,0,0.204
-1.15076e-05,-0.000658161,-0.000165455,8.1542e-08,0,0,0,0.208
-1.21822e-05,-0.000658161,-0.000171838,4.53374e-08,0,0,0,0.212
-1.28825e-05,-0.000658161,-0.000178341,2.52076e-08,0,0,0,0.216
-1.36091e-05,-0.000658161,-0.000184963,1.40154e-08,0,0,0,0.22
-1.43623e-05,-0.000658161,-0.000191703,7.79257e-09,0,0,0,0.224
-1.51428e-05,-0.000658161,-0.000198563,4.33267e-09,0,0,0,0.228
-1.5951e-05,-0.000658161,-0.000205541,2.40896e-09,0,0,0,0.232
-1.67873e-05,-0.000658161,-0.000212638,1.33938e-09,0,0,0,0.236
