joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.86,-1.8626,7.0784e-08,0,-17,0,0.004
-1.86,-1.8626,2.83033e-07,3.83495e-05,-17,0,0.008
-1.86,-1.8626,6.36593e-07,2.13223e-05,-17,0,0.012
-1.86,-1.8626,1.13131e-06,5.02047e-05,-17,0,0.016
-1.86,-1.8626,1.76703e-06,6.62633e-05,-17,0,0.02
-1.86,-1.8626,2.54359e-06,-1.50709e-06,-17,0,0.024
-1.86,-1.8626,3.46085e-06,0.00015256,-16,0,0.028
-1.86,-1.8626,4.51865e-06,0.00035327,-14,0,0.032
-1.86,-1.86259,5.71683e-06,0.000311467,-14,0,0.036
-1.86,-1.86259,7.05525e-06,0.000249874,-15,0,0.04
-1.86,-1.86259,8.53374e-06,0.000100581,-17,0,0.044
-1.86,-1.86259,1.01522e-05,5.59229e-05,-17,0,0.048
-1.86,-1.86259,1.19103e-05,3.10931e-05,-17,0,0.052
-1.86,-1.86259,1.38081e-05,5.56373e-05,-17,0,0.056
-1.86,-1.86259,1.58454e-05,-4.57647e-05,-18,0,0.06
-1.86,-1.86259,1.8022e-05,8.96034e-05,-17,0,0.064
-1.86,-1.86259,2.03377e-05,-6.52291e-05,-18,0,0.068
-1.86,-1.86259,2.27924e-05,7.87812e-05,-17,0,0.072
-1.86,-1.86259,2.5386e-05,-7.12462e-05,-18,0,0.076
-1.86,-1.86259,2.81183e-05,3.70861e-05,-17,0,0.08
-1.86,-1.86259,3.09891e-05,-1.77296e-05,-18,0,0.084
-1.86,-1.86259,3.39983e-05,2.84918e-05,-17,0,0.088
-1.86,-1.86259,3.71457e-05,-6.08576e-05,-18,0,0.092
-1.86,-1.86259,4.04312e-05,8.12117e-05,-17,0,0.096
-1.86,-1.86259,4.38547e-05,-6.98948e-05,-19,0,0.1
-1.86,-1.86259,4.74159e-05,-5.12004e-07,-18,0,0.104
-1.86,-1.86259,5.11147e-05,-3.86342e-05,-18,0,0.108
-1.86,-1.86259,5.4951e-05,5.52184e-05,-17,0,0.112
-1.86,-1.86259,5.89247e-05,3.07014e-05,-18,0,0.116
-1.86,-1.86259,6.30354e-05,-5.9629e-05,-19,0,0.12
-1.86,-1.86259,6.72832e-05,4.35453e-05,-18,0,0.124
-1.86,-1.86259,7.16679e-05,2.42112e-05,-18,0,0.128
-1.86,-1.86259,7.61893e-05,1.34614e-05,-18,0,0.132
-1.86,-1.86259,8.08472e-05,7.48455e-06,-18,0,0.136
-1.86,-1.86259,8.56415e-05,4.16141e-06,-18,0,0.14
-1.86,-1.86259,9.0572e-05,2.31374e-06,-18,0,0.144
-1.86,-1.86259,9.56387e-05,-7.54126e-05,-19,0,0.148
-1.85999,-1.86259,0.000100841,3.47696e-05,-18,0,0.152
-1.85999,-1.86259,0.00010618,1.93319e-05,-18,0,0.156
-1.85999,-1.86259,0.000111654,1.07485e-05,-18,0,0.16
-1.85999,-1.86259,0.000117263,5.97619e-06,-19,0,0.164
-1.85999,-1.86259,0.000123008,3.32276e-06,-19,0,0.168
-1.85999,-1.86259,0.000128888,1.84746e-06,-19,0,0.172
-1.85999,-1.86259,0.000134903,1.02719e-06,-19,0,0.176
-1.85999,-1.86259,0.000141053,5.71115e-07,-19,0,0.18
-1.85999,-1.86259,0.000147338,3.1754e-07,-19,0,0.184
-1.85999,-1.86259,0.000153757,1.76552e-07,-19,0,0.188
-1.85999,-1.86259,0.00016031,9.8163e-08,-19,0,0.192
-1.85999,-1.86259,0.000166998,5.45786e-08,-19,0,0.196
-1.85999,-1.86259,0.00017382,3.03457e-08,-19,0,0.2
-1.85999,-1.86259,0.000180776,1.68722e-08,-19,0,0.204
-1.85999,-1.86259,0.000187866,9.38096e-09,-19,0,0.208
-1.85999,-1.86259,0.00019509,5.21581e-09,-19,0,0.212
-1.85999,-1.86259,0.000202447,2.89999e-09,-19,0,0.216
-1.85998,-1.86259,0.000209937,1.6124e-09,-20,0,0.22
