joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term1[Nm], DOB Torque Term2[Nm], current_time
-0.2686,-0.26778,7.0784e-08,0,-1.32808,0,-0,0.004
-0.2686,-0.267779,2.83033e-07,3.83879e-05,-1.41517,1.53496e-05,0.590259,0.008
-0.2686,-0.267779,6.36593e-07,2.13266e-05,-1.37566,1.70551e-06,0.956886,0.012
-0.2686,-0.267779,1.13131e-06,8.86239e-05,-1.5282,2.78566e-05,1.14301,0.016
-0.2686,-0.267779,1.76703e-06,-2.75403e-05,-1.26225,-3.09729e-05,1.31421,0.02
-0.2686,-0.26778,2.54359e-06,-5.36881e-05,-1.20061,-2.76624e-05,1.29111,0.024
-0.2686,-0.267781,3.46085e-06,-0.00014499,-0.98981,-5.18756e-05,1.25089,0.028
-0.2686,-0.267781,4.51865e-06,-8.05502e-05,-1.13346,-3.05308e-06,1.13485,0.032
-0.2686,-0.267782,5.71683e-06,-0.000121526,-1.03667,-1.80804e-05,1.13423,0.036
-0.2686,-0.267781,7.05525e-06,-2.91265e-05,-1.24362,2.69016e-05,1.09087,0.04
-0.2686,-0.267781,8.53374e-06,-1.61814e-05,-1.26954,2.01215e-05,1.15876,0.044
-0.2686,-0.267781,1.01522e-05,-8.98966e-06,-1.28209,1.40543e-05,1.208,0.048
-0.2686,-0.26778,1.19103e-05,7.17815e-05,-1.46225,4.01046e-05,1.24093,0.052
-0.2686,-0.267781,1.38081e-05,-3.68972e-05,-1.21033,-2.11753e-05,1.3393,0.056
-0.2686,-0.267781,1.58454e-05,-2.04984e-05,-1.24278,-5.20695e-06,1.28198,0.06
-0.2686,-0.267781,1.8022e-05,-1.1388e-05,-1.25836,7.50088e-07,1.26456,0.064
-0.2686,-0.267781,2.03377e-05,-6.32667e-06,-1.26444,2.44051e-06,1.2618,0.068
-0.268599,-0.267781,2.27924e-05,-3.51482e-06,-1.26509,2.48017e-06,1.26298,0.072
-0.268599,-0.267782,2.5386e-05,-4.03406e-05,-1.17498,-1.33471e-05,1.26391,0.076
-0.268599,-0.267781,2.81183e-05,5.43644e-05,-1.38442,3.04532e-05,1.22439,0.08
-0.268599,-0.267782,3.09891e-05,-4.65734e-05,-1.14774,-2.3442e-05,1.29551,0.084
-0.268599,-0.267781,3.39983e-05,5.09017e-05,-1.36279,2.59525e-05,1.22984,0.088
-0.268599,-0.267781,3.71457e-05,-1.01092e-05,-1.21652,-9.97741e-06,1.28893,0.092
-0.268599,-0.267781,4.04312e-05,-5.61621e-06,-1.21899,-3.74647e-06,1.25675,0.096
-0.268599,-0.26778,4.38547e-05,7.36557e-05,-1.39177,2.96158e-05,1.23997,0.1
-0.268598,-0.267781,4.74159e-05,2.53192e-06,-1.22157,-1.19859e-05,1.30744,0.104
-0.268598,-0.267781,5.11147e-05,1.40662e-06,-1.21029,-7.10879e-06,1.26927,0.108
-0.268598,-0.267781,5.4951e-05,-3.76064e-05,-1.11222,-1.95489e-05,1.24306,0.112
-0.268598,-0.267781,5.89247e-05,-2.08925e-05,-1.14071,-4.17733e-06,1.18491,0.116
-0.268597,-0.267781,6.30354e-05,2.6781e-05,-1.23962,1.67417e-05,1.16527,0.12
-0.268597,-0.267781,6.72832e-05,1.48783e-05,-1.20256,4.54161e-06,1.19831,0.124
-0.268597,-0.26778,7.16679e-05,4.66536e-05,-1.26475,1.52286e-05,1.2002,0.128
-0.268597,-0.267781,7.61893e-05,-1.24692e-05,-1.11939,-1.51802e-05,1.22889,0.132
-0.268596,-0.267781,8.08472e-05,-6.92734e-06,-1.12087,-6.2175e-06,1.18022,0.136
-0.268596,-0.267781,8.56415e-05,-3.84852e-06,-1.11642,-2.22308e-06,1.15384,0.14
-0.268596,-0.267781,9.0572e-05,-2.13807e-06,-1.10852,-5.51114e-07,1.13721,0.144
-0.268595,-0.267781,9.56387e-05,-1.18782e-06,-1.09857,7.37881e-08,1.12446,0.148
-0.268595,-0.267781,0.000100841,-6.59898e-07,-1.08731,2.52084e-07,1.11295,0.152
-0.268594,-0.267781,0.00010618,-3.6661e-07,-1.07518,2.57319e-07,1.10156,0.156
-0.268594,-0.267781,0.000111654,-2.03672e-07,-1.06241,2.08106e-07,1.08983,0.16
-0.268594,-0.267781,0.000117263,-1.13151e-07,-1.04914,1.5181e-07,1.07765,0.164
-0.268593,-0.267781,0.000123008,-6.28618e-08,-1.03542,1.04447e-07,1.06497,0.168
-0.268593,-0.267781,0.000128888,-3.49232e-08,-1.02132,6.91976e-08,1.05184,0.172
-0.268592,-0.267781,0.000134903,-1.94018e-08,-1.00684,4.46494e-08,1.03828,0.176
-0.268592,-0.267781,0.000141053,-1.07788e-08,-0.992003,2.82532e-08,1.02431,0.18
-0.268591,-0.267781,0.000147338,-5.9882e-09,-0.976809,1.76117e-08,1.00995,0.184
-0.26859,-0.267781,0.000153757,-3.32678e-09,-0.961265,1.08485e-08,0.99522,0.188
-0.26859,-0.267781,0.00016031,-1.84821e-09,-0.945371,6.61815e-09,0.980129,0.192
-0.268589,-0.267781,0.000166998,-1.02678e-09,-0.929129,4.0052e-09,0.964681,0.196
-0.268588,-0.267781,0.00017382,-5.70435e-10,-0.912537,2.40758e-09,0.94888,0.2
-0.268588,-0.267781,0.000180776,-3.16909e-10,-0.895598,1.43892e-09,0.932728,0.204
-0.268587,-0.267781,0.000187866,-1.7606e-10,-0.878308,8.55719e-10,0.916225,0.208
-0.268586,-0.267781,0.00019509,-9.78113e-11,-0.86067,5.06688e-10,0.899373,0.212
-0.268585,-0.267781,0.000202447,-5.43396e-11,-0.842681,2.98876e-10,0.882172,0.216
-0.268585,-0.267781,0.000209937,-3.01887e-11,-0.824342,1.75699e-10,0.864621,0.22
