joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
1.41174,1.41101,-7.0784e-08,0,1.19261,0,0.004
1.41174,1.41101,-2.83033e-07,-3.83879e-05,1.27969,-0.00318836,0.008
1.41174,1.41101,-6.36593e-07,1.70613e-05,1.15259,-0.00656793,0.012
1.41174,1.41101,-1.13131e-06,9.47849e-06,1.16864,-0.0096366,0.016
1.41174,1.41101,-1.76703e-06,5.26583e-06,1.17671,-0.0127465,0.02
1.41174,1.41101,-2.54359e-06,2.92546e-06,1.18022,-0.0158771,0.024
1.41174,1.41101,-3.46085e-06,1.62526e-06,1.18105,-0.0190165,0.028
1.41174,1.41101,-4.51865e-06,9.0292e-07,1.18024,-0.0221579,0.032
1.41174,1.41101,-5.71683e-06,5.01622e-07,1.17838,-0.025297,0.036
1.41174,1.41101,-7.05525e-06,2.78679e-07,1.17578,-0.0284311,0.04
1.41174,1.41101,-8.53374e-06,1.54822e-07,1.17264,-0.0315582,0.044
1.41174,1.41101,-1.01522e-05,8.6012e-08,1.16904,-0.034677,0.048
1.41174,1.41101,-1.19103e-05,3.84357e-05,1.07746,-0.0377696,0.052
1.41174,1.41101,-1.38081e-05,5.97411e-05,1.02419,-0.040626,0.056
1.41174,1.41101,-1.58454e-05,-5.19842e-06,1.16724,-0.0433779,0.06
1.41174,1.41101,-1.8022e-05,-2.88801e-06,1.15693,-0.0464813,0.064
1.41174,1.41101,-2.03377e-05,-1.60445e-06,1.14863,-0.0495577,0.068
1.41174,1.41101,-2.27924e-05,-8.91362e-07,1.14128,-0.0526122,0.072
1.41174,1.41101,-2.5386e-05,-4.95201e-07,1.13433,-0.0556474,0.076
1.41174,1.41101,-2.81183e-05,-2.75112e-07,1.12744,-0.0586641,0.08
1.41174,1.41101,-3.09891e-05,-1.5284e-07,1.12044,-0.0616625,0.084
1.41174,1.41101,-3.39983e-05,-8.4911e-08,1.11323,-0.0646424,0.088
1.41174,1.41101,-3.71457e-05,-4.71728e-08,1.10575,-0.0676031,0.092
1.41174,1.41101,-4.04312e-05,-2.62071e-08,1.09798,-0.0705439,0.096
1.41174,1.41101,-4.38547e-05,-1.45595e-08,1.0899,-0.0734641,0.1
1.41174,1.41101,-4.74159e-05,-8.08861e-09,1.08149,-0.0763628,0.104
1.41174,1.41101,-5.11147e-05,-4.49367e-09,1.07276,-0.0792391,0.108
1.41174,1.41101,-5.4951e-05,-2.49649e-09,1.06369,-0.0820921,0.112
1.41174,1.41101,-5.89247e-05,-1.38694e-09,1.05429,-0.0849211,0.116
1.41174,1.41101,-6.30354e-05,-7.7052e-10,1.04455,-0.0877251,0.12
1.41174,1.41101,-6.72832e-05,-4.28067e-10,1.03447,-0.0905031,0.124
1.41174,1.41101,-7.16679e-05,-2.37815e-10,1.02406,-0.0932544,0.128
1.41174,1.41101,-7.61893e-05,-1.32119e-10,1.01331,-0.095978,0.132
1.41174,1.41101,-8.08472e-05,-7.33997e-11,1.00222,-0.0986729,0.136
1.41174,1.41101,-8.56415e-05,-4.07776e-11,0.990788,-0.101338,0.14
1.41174,1.41101,-9.0572e-05,-2.26542e-11,0.979017,-0.103973,0.144
1.41174,1.41101,-9.56387e-05,-1.25857e-11,0.966905,-0.106577,0.148
1.41174,1.41101,-0.000100841,-6.99204e-12,0.954451,-0.109149,0.152
1.41174,1.41101,-0.00010618,-3.88447e-12,0.941656,-0.111687,0.156
1.41174,1.41101,-0.000111654,-2.15804e-12,0.928518,-0.114192,0.16
1.41174,1.41101,-0.000117263,-1.19891e-12,0.915037,-0.116661,0.164
1.41174,1.41101,-0.000123008,-6.66061e-13,0.901212,-0.119095,0.168
1.41174,1.41101,-0.000128888,-3.70034e-13,0.887043,-0.121492,0.172
1.41174,1.41101,-0.000134903,-2.05574e-13,0.87253,-0.123851,0.176
1.41174,1.41101,-0.000141053,-1.14208e-13,0.857672,-0.126171,0.18
1.41174,1.41101,-0.000147338,-6.34489e-14,0.842468,-0.128452,0.184
1.41174,1.41101,-0.000153757,-3.52494e-14,0.826917,-0.130693,0.188
1.41173,1.41101,-0.00016031,-1.9583e-14,0.81102,-0.132892,0.192
1.41173,1.41101,-0.000166998,-1.08794e-14,0.794776,-0.135049,0.196
1.41173,1.41101,-0.00017382,-6.04413e-15,0.778183,-0.137163,0.2
1.41173,1.41101,-0.000180776,-3.35785e-15,0.761243,-0.139233,0.204
1.41173,1.41101,-0.000187866,-1.86547e-15,0.743954,-0.141257,0.208
1.41173,1.41101,-0.00019509,-1.03637e-15,0.726315,-0.143236,0.212
1.41173,1.41101,-0.000202447,-5.75763e-16,0.708326,-0.145167,0.216
1.41173,1.41101,-0.000209937,-3.19868e-16,0.689987,-0.147051,0.22
1.41173,1.41101,-0.00021756,-1.77705e-16,0.671297,-0.148886,0.224
1.41173,1.41101,-0.000225317,-9.87248e-17,0.652256,-0.150672,0.228
